Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0,-0.048958,0.026066,0.00486,-0.033661,0.026959,0.115636,-0.015443,0.027276,0.060204
1,0.008333,-0.048956,0.026066,0.004861,-0.033663,0.026953,0.115632,-0.01544,0.027272,0.060205
2,0.016667,-0.04896,0.026066,0.004859,-0.03366,0.026958,0.115633,-0.015445,0.027267,0.060204
3,0.025,-0.048964,0.026067,0.004863,-0.033659,0.026958,0.115633,-0.015445,0.02727,0.060202
4,0.033333,-0.048958,0.02607,0.004864,-0.033661,0.026957,0.115634,-0.015442,0.027277,0.060207
5,0.041667,-0.048956,0.026065,0.004862,-0.03366,0.026957,0.115634,-0.015443,0.027273,0.060206
6,0.05,-0.048958,0.026069,0.004864,-0.033662,0.026953,0.115629,-0.015441,0.027272,0.060206
7,0.058333,-0.048955,0.026068,0.004858,-0.03366,0.026957,0.115633,-0.015441,0.027273,0.060206
8,0.066667,-0.048957,0.026067,0.00486,-0.033656,0.026957,0.115631,-0.015444,0.027267,0.060205
9,0.075,-0.048957,0.026061,0.00486,-0.033657,0.026962,0.11563,-0.015443,0.027274,0.060205
10,0.083333,-0.048961,0.026067,0.004863,-0.033658,0.026963,0.115633,-0.015443,0.027273,0.060205
11,0.091667,-0.048961,0.026068,0.004862,-0.033661,0.026959,0.115633,-0.015449,0.027272,0.060205
12,0.1,-0.04896,0.026069,0.004864,-0.033662,0.026957,0.115632,-0.01545,0.027267,0.0602
13,0.108333,-0.048961,0.026072,0.004866,-0.033663,0.026958,0.115631,-0.01545,0.027276,0.060209
14,0.116667,-0.048965,0.026063,0.004865,-0.033664,0.026952,0.115633,-0.015451,0.02727,0.060205
15,0.125,-0.048963,0.026063,0.004865,-0.033658,0.026957,0.115626,-0.015447,0.027269,0.060209
16,0.133333,-0.048961,0.026073,0.004865,-0.033662,0.02696,0.115629,-0.015449,0.02727,0.060208
17,0.141667,-0.04896,0.026071,0.004869,-0.033662,0.026959,0.115635,-0.015449,0.027267,0.060209
18,0.15,-0.048961,0.026064,0.004866,-0.033666,0.026956,0.115631,-0.01545,0.027272,0.060208
19,0.158333,-0.048961,0.02607,0.004869,-0.033663,0.026957,0.115633,-0.015446,0.027273,0.060207
20,0.166667,-0.04896,0.026064,0.004867,-0.033662,0.026955,0.115628,-0.015449,0.027269,0.060207
21,0.175,-0.048964,0.026067,0.00487,-0.033663,0.026954,0.115627,-0.01545,0.027273,0.060204
22,0.183333,-0.048963,0.026067,0.00487,-0.033663,0.026961,0.115629,-0.015448,0.027273,0.060201
23,0.191667,-0.048962,0.026063,0.004866,-0.033664,0.026957,0.115626,-0.015451,0.027274,0.060207
24,0.2,-0.048963,0.026067,0.00487,-0.033667,0.026959,0.115626,-0.015448,0.02727,0.060204
25,0.208333,-0.048963,0.026064,0.004868,-0.033662,0.026957,0.115626,-0.015451,0.02727,0.060207
26,0.216667,-0.048965,0.026063,0.004866,-0.033664,0.026956,0.115626,-0.015451,0.027267,0.060207
27,0.225,-0.048961,0.02607,0.004871,-0.033662,0.026956,0.115625,-0.015455,0.027268,0.060201
28,0.233333,-0.048963,0.026063,0.004874,-0.033664,0.026961,0.115627,-0.015453,0.027269,0.060205
29,0.241667,-0.048961,0.026067,0.004873,-0.033662,0.02696,0.115626,-0.015457,0.027271,0.060207
30,0.25,-0.048963,0.026066,0.00487,-0.033665,0.026959,0.115626,-0.015454,0.02727,0.060206
31,0.258333,-0.048963,0.026063,0.00487,-0.033664,0.02696,0.115622,-0.015454,0.027275,0.060208
32,0.266667,-0.048964,0.026067,0.004868,-0.033662,0.026958,0.115624,-0.015454,0.027272,0.060204
33,0.275,-0.048963,0.026067,0.004872,-0.033664,0.026959,0.115625,-0.015455,0.027269,0.060203
34,0.283333,-0.048961,0.026064,0.00487,-0.033667,0.026957,0.115626,-0.015458,0.027268,0.060202
35,0.291667,-0.048964,0.026065,0.004872,-0.033663,0.026958,0.115623,-0.015457,0.027272,0.060206
36,0.3,-0.048966,0.026066,0.004872,-0.033668,0.026961,0.115624,-0.015461,0.027269,0.060205
37,0.308333,-0.048966,0.026067,0.004872,-0.033668,0.02696,0.115624,-0.01546,0.027275,0.060205
38,0.316667,-0.048967,0.026065,0.004874,-0.033665,0.026958,0.115624,-0.015457,0.027268,0.060207
39,0.325,-0.048965,0.026066,0.004875,-0.033669,0.02696,0.115626,-0.015462,0.027268,0.060207
40,0.333333,-0.048967,0.026068,0.004875,-0.033665,0.02696,0.115623,-0.015457,0.027269,0.060205
41,0.341667,-0.048965,0.026062,0.004875,-0.033667,0.026958,0.11562,-0.015456,0.027273,0.060203
42,0.35,-0.048963,0.026061,0.004877,-0.033666,0.026956,0.115622,-0.01546,0.027273,0.060206
43,0.358333,-0.048968,0.026061,0.004878,-0.033665,0.026958,0.11562,-0.015457,0.027271,0.060205
44,0.366667,-0.048965,0.026066,0.004877,-0.033667,0.026959,0.11562,-0.015461,0.027267,0.060203
45,0.375,-0.048965,0.026067,0.004878,-0.033667,0.026958,0.115622,-0.015461,0.027272,0.060203
46,0.383333,-0.048963,0.02607,0.004877,-0.033669,0.026959,0.115621,-0.015458,0.027274,0.060204
47,0.391667,-0.048965,0.026067,0.004876,-0.033669,0.026959,0.115617,-0.015463,0.027272,0.060204
48,0.4,-0.048964,0.02606,0.004877,-0.033671,0.026957,0.115622,-0.015461,0.027269,0.060206
49,0.408333,-0.048966,0.026065,0.004877,-0.033669,0.026958,0.11562,-0.015461,0.027266,0.060208
50,0.416667,-0.048966,0.026064,0.004877,-0.033667,0.026959,0.115621,-0.015465,0.027265,0.060209
51,0.425,-0.048966,0.026068,0.00488,-0.033669,0.026959,0.115621,-0.015464,0.027266,0.060207
52,0.433333,-0.048964,0.026061,0.004881,-0.033667,0.026958,0.115619,-0.015466,0.02727,0.060206
53,0.441667,-0.048965,0.026066,0.00488,-0.033665,0.026959,0.115621,-0.015463,0.027269,0.06021
54,0.45,-0.048966,0.026068,0.004879,-0.033669,0.02696,0.11562,-0.015464,0.02727,0.060204
55,0.458333,-0.048971,0.026064,0.004881,-0.033671,0.026962,0.115619,-0.015466,0.027268,0.060204
56,0.466667,-0.048967,0.026062,0.004879,-0.033668,0.026958,0.115617,-0.015467,0.027267,0.060207
57,0.475,-0.04897,0.02607,0.004882,-0.033673,0.026957,0.115617,-0.015467,0.027271,0.06021
58,0.483333,-0.048969,0.02606,0.004883,-0.033672,0.026958,0.115617,-0.015469,0.027272,0.060208
59,0.491667,-0.048972,0.026065,0.004886,-0.03367,0.026961,0.11562,-0.015468,0.02727,0.060205
60,0.5,-0.048969,0.026065,0.004889,-0.03367,0.026957,0.115621,-0.01547,0.02727,0.060209
61,0.508333,-0.048971,0.026067,0.004889,-0.033669,0.026959,0.115616,-0.015467,0.027272,0.060208
62,0.516667,-0.048968,0.026063,0.004886,-0.033673,0.026958,0.11562,-0.015471,0.027269,0.060211
63,0.525,-0.048968,0.026066,0.004883,-0.033672,0.026964,0.115618,-0.01547,0.027269,0.060207
64,0.533333,-0.048964,0.026064,0.004888,-0.033673,0.026961,0.115618,-0.015469,0.027273,0.060207
65,0.541667,-0.04897,0.026064,0.004887,-0.033671,0.026958,0.115614,-0.015472,0.027275,0.060209
66,0.55,-0.04897,0.026062,0.004886,-0.033673,0.026959,0.115615,-0.01547,0.027267,0.060206
67,0.558333,-0.048968,0.026064,0.004884,-0.03367,0.02696,0.115614,-0.015473,0.02727,0.060208
68,0.566667,-0.048969,0.026064,0.004883,-0.033674,0.026963,0.115612,-0.015472,0.027277,0.060205
69,0.575,-0.048969,0.026066,0.004882,-0.033673,0.026959,0.115614,-0.015472,0.027272,0.060206
70,0.583333,-0.048967,0.026067,0.004889,-0.03367,0.02696,0.115612,-0.015471,0.027272,0.060209
71,0.591667,-0.048972,0.026065,0.004891,-0.033673,0.026958,0.115615,-0.015474,0.027267,0.060211
72,0.6,-0.048971,0.026066,0.004889,-0.033673,0.026963,0.115615,-0.015472,0.027269,0.060206
73,0.608333,-0.048969,0.02607,0.00489,-0.033677,0.026959,0.115615,-0.015475,0.027271,0.060209
74,0.616667,-0.048971,0.02607,0.004889,-0.033675,0.026956,0.115614,-0.015478,0.027272,0.060206
75,0.625,-0.048972,0.026064,0.00489,-0.033676,0.026958,0.115613,-0.015476,0.027268,0.060207
76,0.633333,-0.048971,0.026068,0.004893,-0.033674,0.026959,0.115612,-0.015474,0.027277,0.060208
77,0.641667,-0.048971,0.026067,0.004892,-0.033674,0.026963,0.115611,-0.015474,0.027272,0.060207
78,0.65,-0.048974,0.026066,0.004892,-0.033676,0.026961,0.115611,-0.015478,0.02727,0.060208
79,0.658333,-0.048971,0.026068,0.004891,-0.033673,0.026962,0.11561,-0.015476,0.027272,0.060207
80,0.666667,-0.04897,0.026068,0.00489,-0.033675,0.026962,0.115614,-0.015482,0.027271,0.060209
81,0.675,-0.048973,0.026069,0.004893,-0.033675,0.026959,0.115612,-0.015478,0.027269,0.06021
82,0.683333,-0.048976,0.026064,0.004896,-0.033679,0.02696,0.115614,-0.015477,0.027272,0.060209
83,0.691667,-0.048973,0.026064,0.004894,-0.033677,0.02696,0.115612,-0.015484,0.02727,0.06021
84,0.7,-0.048974,0.026067,0.004892,-0.033676,0.026957,0.115612,-0.015479,0.027273,0.060209
85,0.708333,-0.048975,0.026064,0.004899,-0.033674,0.026961,0.115612,-0.015482,0.027277,0.060211
86,0.716667,-0.048975,0.026071,0.004897,-0.033676,0.026961,0.11561,-0.015483,0.027271,0.060207
87,0.725,-0.048971,0.026067,0.004895,-0.033677,0.026959,0.115608,-0.01548,0.027275,0.060212
88,0.733333,-0.048973,0.026065,0.004894,-0.033678,0.02696,0.115606,-0.015482,0.027268,0.060209
89,0.741667,-0.048976,0.026065,0.004896,-0.033678,0.02696,0.115606,-0.015485,0.027267,0.060206
90,0.75,-0.048971,0.026071,0.004895,-0.033676,0.026964,0.115605,-0.015484,0.027272,0.060207
91,0.758333,-0.048974,0.026068,0.004899,-0.033677,0.026959,0.115604,-0.015483,0.027268,0.060211
92,0.766667,-0.048977,0.026063,0.004899,-0.033677,0.026961,0.115607,-0.015485,0.027273,0.06021
93,0.775,-0.048974,0.026069,0.004898,-0.033679,0.026963,0.115609,-0.015486,0.027273,0.060215
94,0.783333,-0.048977,0.026068,0.004902,-0.033678,0.02696,0.115606,-0.015488,0.027269,0.060212
95,0.791667,-0.048979,0.026062,0.004903,-0.033677,0.026963,0.115607,-0.015488,0.027276,0.060214
96,0.8,-0.048979,0.026067,0.004904,-0.033679,0.026964,0.115608,-0.015488,0.027272,0.060208
