Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0,-0.02801,0.025517,0.009207,-0.02667,0.026324,0.112696,-0.021425,0.025529,0.062783
1,0.008333,-0.028012,0.025518,0.009207,-0.026665,0.026323,0.112692,-0.021419,0.02553,0.062781
2,0.016667,-0.028009,0.025519,0.009206,-0.026669,0.026325,0.112693,-0.021416,0.025528,0.06278
3,0.025,-0.028009,0.025517,0.009209,-0.026669,0.026326,0.112689,-0.021418,0.02553,0.062781
4,0.033333,-0.02801,0.025517,0.009207,-0.026664,0.026328,0.112688,-0.021417,0.025538,0.062779
5,0.041667,-0.028009,0.02552,0.009205,-0.026668,0.026324,0.112692,-0.021418,0.025532,0.062783
6,0.05,-0.028009,0.025518,0.009203,-0.026667,0.026326,0.112695,-0.021419,0.025536,0.062782
7,0.058333,-0.028011,0.02552,0.009204,-0.02667,0.026325,0.112692,-0.021421,0.025534,0.062783
8,0.066667,-0.028012,0.025519,0.009204,-0.026669,0.026328,0.112693,-0.02142,0.025533,0.062784
9,0.075,-0.028014,0.025517,0.009208,-0.026668,0.026326,0.112692,-0.02142,0.02553,0.062783
10,0.083333,-0.02801,0.025516,0.009208,-0.026668,0.026325,0.112692,-0.021418,0.025533,0.062785
11,0.091667,-0.02801,0.025519,0.009206,-0.026666,0.026328,0.112692,-0.021419,0.025534,0.062784
12,0.1,-0.028008,0.025516,0.009202,-0.026667,0.02633,0.112692,-0.021417,0.025532,0.06278
13,0.108333,-0.028009,0.025517,0.009205,-0.026666,0.026327,0.112692,-0.02142,0.025533,0.062787
14,0.116667,-0.02801,0.025522,0.009207,-0.026664,0.026325,0.112691,-0.021417,0.025533,0.062781
15,0.125,-0.028008,0.025516,0.009205,-0.026665,0.026327,0.112692,-0.021418,0.025532,0.062781
16,0.133333,-0.02801,0.025516,0.009205,-0.026666,0.026322,0.112693,-0.021419,0.02553,0.062781
17,0.141667,-0.02801,0.025519,0.009204,-0.026664,0.026325,0.112693,-0.021416,0.025534,0.062782
18,0.15,-0.02801,0.025517,0.009201,-0.026663,0.026324,0.112697,-0.021415,0.025532,0.062784
19,0.158333,-0.02801,0.025517,0.0092,-0.026665,0.026325,0.112696,-0.021414,0.025536,0.062784
20,0.166667,-0.028009,0.025519,0.009197,-0.026666,0.026325,0.112702,-0.021416,0.025535,0.062782
21,0.175,-0.028011,0.025518,0.0092,-0.026666,0.026324,0.1127,-0.021413,0.025532,0.062778
22,0.183333,-0.028009,0.025518,0.009199,-0.026663,0.026322,0.112699,-0.021413,0.025539,0.062781
23,0.191667,-0.028007,0.02552,0.009199,-0.026662,0.026321,0.112697,-0.021412,0.025534,0.062785
24,0.2,-0.028008,0.025513,0.009198,-0.026662,0.026321,0.112695,-0.021408,0.025534,0.062781
25,0.208333,-0.028008,0.025515,0.009194,-0.026662,0.02632,0.112699,-0.021411,0.025539,0.062779
26,0.216667,-0.028005,0.025517,0.009194,-0.026663,0.026323,0.112703,-0.021409,0.025536,0.062785
27,0.225,-0.028009,0.025519,0.009193,-0.026662,0.026327,0.112701,-0.021409,0.025534,0.062778
28,0.233333,-0.028005,0.025518,0.00919,-0.026658,0.026325,0.1127,-0.021408,0.025534,0.062786
29,0.241667,-0.02801,0.025518,0.00919,-0.02666,0.026324,0.112702,-0.021405,0.025542,0.062784
30,0.25,-0.028007,0.025516,0.009196,-0.026662,0.026324,0.1127,-0.021404,0.025538,0.062783
31,0.258333,-0.028007,0.025515,0.009191,-0.026661,0.026324,0.112702,-0.021407,0.025538,0.062782
32,0.266667,-0.028008,0.025518,0.009193,-0.026657,0.026328,0.112704,-0.021405,0.025542,0.06278
33,0.275,-0.028006,0.025517,0.009189,-0.02666,0.026323,0.112707,-0.021405,0.025539,0.062784
