Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
29,0.241667,-0.008295,0.038972,0.329671,-0.005989,0.035286,0.229695,-0.008021,0.037367,0.277612,-0.004666,0.035518,0.211113,-0.005692,0.037124,0.166349,-0.001925,0.038109,0.113892
30,0.25,-0.008292,0.038976,0.329674,-0.005986,0.035287,0.229699,-0.008019,0.037372,0.277618,-0.004663,0.035521,0.211119,-0.005692,0.037123,0.166354,-0.001922,0.038113,0.113894
31,0.258333,-0.008289,0.03898,0.329677,-0.005989,0.035286,0.229701,-0.008022,0.037364,0.277617,-0.004665,0.035519,0.211118,-0.005691,0.037122,0.166355,-0.00192,0.038113,0.113893
32,0.266667,-0.008286,0.038981,0.329675,-0.005987,0.035285,0.229699,-0.008019,0.037364,0.277616,-0.004661,0.035517,0.211115,-0.005691,0.037125,0.166354,-0.001923,0.038113,0.113891
33,0.275,-0.008289,0.038977,0.329665,-0.005989,0.035286,0.229694,-0.008019,0.037369,0.277614,-0.004664,0.035522,0.211114,-0.005692,0.037118,0.166347,-0.001919,0.038112,0.113889
34,0.283333,-0.008288,0.038972,0.329663,-0.005988,0.035288,0.229688,-0.008024,0.03736,0.277607,-0.004662,0.035518,0.211102,-0.00569,0.03712,0.166341,-0.00192,0.038111,0.113882
35,0.291667,-0.008289,0.038974,0.329655,-0.005989,0.035285,0.22968,-0.008022,0.037364,0.277603,-0.004665,0.03551,0.211093,-0.005691,0.037118,0.166338,-0.001924,0.038102,0.113879
36,0.3,-0.008291,0.038971,0.329654,-0.00599,0.035276,0.229678,-0.008021,0.037359,0.277596,-0.004667,0.035512,0.211095,-0.005691,0.037118,0.166331,-0.001927,0.038096,0.113882
37,0.308333,-0.008292,0.038972,0.329653,-0.005992,0.03528,0.229677,-0.008023,0.037367,0.277597,-0.004667,0.03551,0.211096,-0.005691,0.037119,0.16633,-0.001927,0.038093,0.113882
38,0.316667,-0.008295,0.038968,0.329656,-0.005988,0.035278,0.229681,-0.008024,0.037361,0.277601,-0.004668,0.035513,0.211096,-0.005694,0.037116,0.166335,-0.00193,0.038105,0.113882
39,0.325,-0.008291,0.038968,0.329664,-0.005992,0.035285,0.229686,-0.008025,0.037358,0.277607,-0.004666,0.035513,0.211104,-0.005691,0.037119,0.166346,-0.001926,0.038102,0.113884
40,0.333333,-0.008294,0.038974,0.32967,-0.00599,0.035286,0.229697,-0.008026,0.037362,0.277614,-0.004665,0.035519,0.211109,-0.005696,0.037117,0.166351,-0.001925,0.038111,0.113892
41,0.341667,-0.008292,0.038976,0.329675,-0.005993,0.035287,0.229702,-0.008028,0.037368,0.277615,-0.004663,0.035521,0.211118,-0.005692,0.037123,0.166358,-0.001919,0.03812,0.113892
42,0.35,-0.008291,0.038981,0.329676,-0.00599,0.035289,0.229704,-0.008025,0.037366,0.277619,-0.004664,0.035518,0.211118,-0.00569,0.037119,0.166356,-0.001921,0.038113,0.113903
43,0.358333,-0.008291,0.03898,0.329676,-0.00599,0.035289,0.229701,-0.008022,0.037369,0.277619,-0.004664,0.035523,0.211116,-0.00569,0.037124,0.166358,-0.001928,0.038109,0.113893
44,0.366667,-0.008288,0.038976,0.329673,-0.005989,0.03529,0.2297,-0.008021,0.037367,0.277617,-0.004663,0.035514,0.211114,-0.00569,0.037118,0.166352,-0.001919,0.038108,0.113895
45,0.375,-0.008292,0.038971,0.329668,-0.00599,0.035286,0.229692,-0.008019,0.037366,0.277612,-0.004665,0.035516,0.211108,-0.005695,0.037121,0.166345,-0.001922,0.038111,0.113892
46,0.383333,-0.008292,0.038973,0.329659,-0.00599,0.035283,0.229684,-0.008022,0.037359,0.277607,-0.004666,0.035517,0.211103,-0.005692,0.037119,0.166337,-0.001927,0.038107,0.113881
47,0.391667,-0.008293,0.038965,0.329659,-0.005991,0.035278,0.229681,-0.008029,0.03736,0.277598,-0.004668,0.035516,0.211096,-0.005695,0.037118,0.166332,-0.001929,0.0381,0.113877
48,0.4,-0.008294,0.038968,0.329659,-0.005994,0.035278,0.229679,-0.008025,0.037361,0.277597,-0.004669,0.035514,0.211094,-0.005696,0.037112,0.166332,-0.001925,0.038092,0.113886
49,0.408333,-0.008293,0.038967,0.329657,-0.00599,0.035281,0.229682,-0.008025,0.037358,0.277599,-0.004668,0.035512,0.211097,-0.005696,0.037114,0.166333,-0.001928,0.038103,0.11388
50,0.416667,-0.008293,0.038968,0.32966,-0.00599,0.035283,0.229684,-0.008026,0.037363,0.277602,-0.004667,0.035511,0.2111,-0.005695,0.037112,0.166335,-0.00192,0.038103,0.113886
51,0.425,-0.008294,0.038973,0.329661,-0.005991,0.035281,0.229687,-0.008023,0.037365,0.277606,-0.004668,0.035516,0.211103,-0.005692,0.037127,0.166341,-0.001922,0.038106,0.11389
52,0.433333,-0.008287,0.038979,0.329671,-0.005988,0.035285,0.229694,-0.008019,0.037367,0.277612,-0.004661,0.035515,0.211115,-0.005694,0.037122,0.166349,-0.001917,0.038118,0.113891
53,0.441667,-0.008288,0.038978,0.329674,-0.005987,0.03529,0.229701,-0.008018,0.03737,0.277614,-0.004663,0.035516,0.211116,-0.005688,0.037124,0.166357,-0.001919,0.038114,0.113897
54,0.45,-0.008284,0.038982,0.329673,-0.005983,0.035291,0.229697,-0.008019,0.037368,0.277618,-0.00466,0.03552,0.211117,-0.005687,0.037128,0.166353,-0.001915,0.038114,0.113898
55,0.458333,-0.008288,0.038982,0.329671,-0.005985,0.035288,0.229694,-0.008019,0.037368,0.277618,-0.004662,0.035515,0.21111,-0.00569,0.037119,0.166351,-0.00192,0.038108,0.113888
56,0.466667,-0.008291,0.038975,0.329666,-0.005986,0.035285,0.229693,-0.00802,0.037364,0.277613,-0.004662,0.035516,0.211109,-0.005693,0.037121,0.16635,-0.001923,0.038114,0.113895
57,0.475,-0.008291,0.038974,0.329669,-0.00599,0.035287,0.22969,-0.008023,0.037366,0.277606,-0.004666,0.035515,0.211108,-0.005692,0.037118,0.166343,-0.001926,0.038111,0.113886
58,0.483333,-0.008296,0.038971,0.329657,-0.005994,0.035282,0.229683,-0.008027,0.037365,0.277606,-0.00467,0.035503,0.211099,-0.005693,0.03712,0.166338,-0.00193,0.038094,0.113883
59,0.491667,-0.008296,0.038973,0.329658,-0.005991,0.035281,0.229679,-0.008024,0.037358,0.2776,-0.00467,0.03551,0.211098,-0.005696,0.037119,0.166333,-0.001931,0.038091,0.113885
60,0.5,-0.008296,0.038972,0.329656,-0.00599,0.035282,0.229685,-0.00803,0.03736,0.2776,-0.004669,0.035512,0.211097,-0.005696,0.037118,0.166334,-0.001925,0.038101,0.113882
61,0.508333,-0.008288,0.038974,0.32966,-0.005991,0.03528,0.229683,-0.008027,0.03736,0.277601,-0.00467,0.035513,0.211098,-0.005695,0.037117,0.166337,-0.001927,0.038098,0.113885
62,0.516667,-0.008294,0.038978,0.329665,-0.00599,0.035282,0.229688,-0.008023,0.037367,0.277607,-0.004668,0.035517,0.211106,-0.005692,0.037119,0.166341,-0.001925,0.038106,0.11389
63,0.525,-0.008292,0.038975,0.329669,-0.005989,0.035289,0.229694,-0.008022,0.037368,0.277611,-0.004667,0.035517,0.211111,-0.005697,0.037122,0.166346,-0.001919,0.038113,0.11389
64,0.533333,-0.008292,0.038979,0.329675,-0.005989,0.035287,0.229695,-0.008022,0.037372,0.277616,-0.004665,0.035517,0.211112,-0.005691,0.037128,0.166349,-0.001921,0.038112,0.113901
