Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
31,0.258333,0.039344,0.041995,0.235843,0.038312,0.043293,0.190371,0.042170,0.044075,0.071551,0.042134,0.043542,0.166455,0.040917,0.044301,0.116180,0.046895,0.040632,0.279040
32,0.266667,0.039348,0.041993,0.235844,0.038307,0.043156,0.190420,0.042175,0.044079,0.071554,0.042138,0.043547,0.166463,0.040916,0.044300,0.116177,0.046894,0.040623,0.279039
33,0.275000,0.039344,0.042003,0.235851,0.038309,0.043297,0.190375,0.042175,0.044073,0.071556,0.042134,0.043531,0.166455,0.040913,0.044298,0.116179,0.046901,0.040630,0.279042
34,0.283333,0.039349,0.042007,0.235857,0.038314,0.043169,0.190425,0.042174,0.044078,0.071562,0.042135,0.043540,0.166468,0.040916,0.044306,0.116186,0.046898,0.040636,0.279046
35,0.291667,0.039344,0.041999,0.235853,0.038316,0.043167,0.190425,0.042175,0.044078,0.071562,0.042132,0.043544,0.166473,0.040918,0.044303,0.116187,0.046905,0.040641,0.279052
36,0.300000,0.039347,0.042005,0.235854,0.038309,0.043299,0.190385,0.042177,0.044084,0.071564,0.042136,0.043535,0.166469,0.040917,0.044302,0.116192,0.046899,0.040640,0.279052
37,0.308333,0.039347,0.041998,0.235855,0.038315,0.043300,0.190387,0.042170,0.044081,0.071564,0.042135,0.043545,0.166471,0.040916,0.044300,0.116183,0.046896,0.040633,0.279047
38,0.316667,0.039346,0.041995,0.235854,0.038311,0.043298,0.190384,0.042176,0.044076,0.071560,0.042135,0.043541,0.166467,0.040918,0.044308,0.116185,0.046898,0.040637,0.279051
39,0.325000,0.039349,0.042004,0.235853,0.038313,0.043291,0.190383,0.042171,0.044081,0.071558,0.042132,0.043543,0.166469,0.040917,0.044305,0.116186,0.046898,0.040627,0.279044
40,0.333333,0.039343,0.041999,0.235849,0.038305,0.043294,0.190377,0.042172,0.044083,0.071558,0.042132,0.043543,0.166468,0.040917,0.044303,0.116181,0.046895,0.040632,0.279043
41,0.341667,0.039345,0.042000,0.235850,0.038307,0.043300,0.190379,0.042168,0.044080,0.071558,0.042133,0.043533,0.166460,0.040913,0.044301,0.116185,0.046894,0.040630,0.279044
42,0.350000,0.039339,0.042003,0.235851,0.038304,0.043304,0.190375,0.042167,0.044079,0.071562,0.042130,0.043528,0.166458,0.040916,0.044307,0.116185,0.046889,0.040627,0.279042
43,0.358333,0.039340,0.042002,0.235857,0.038311,0.043168,0.190427,0.042172,0.044083,0.071559,0.042127,0.043550,0.166472,0.040906,0.044304,0.116184,0.046892,0.040625,0.279042
44,0.366667,0.039339,0.042000,0.235857,0.038309,0.043166,0.190427,0.042164,0.044081,0.071563,0.042127,0.043539,0.166470,0.040904,0.044302,0.116185,0.046889,0.040630,0.279051
45,0.375000,0.039344,0.041999,0.235859,0.038310,0.043299,0.190387,0.042167,0.044083,0.071565,0.042131,0.043537,0.166475,0.040912,0.044303,0.116191,0.046895,0.040644,0.279055
