Frame,Time,Rigid Body 1 X,Rigid Body 1 Y,Rigid Body 1 Z,Rigid Body 2 X,Rigid Body 2 Y,Rigid Body 2 Z,Rigid Body 3 X,Rigid Body 3 Y,Rigid Body 3 Z,Rigid Body 4 X,Rigid Body 4 Y,Rigid Body 4 Z
45,0.375,0.017634,0.062259,0.150503,0.027532,0.063524,0.251368,0.024747,0.064308,0.030801,0.02098,0.064109,0.125785
46,0.383333,0.017846,0.062304,0.150544,0.027598,0.063538,0.251105,0.024792,0.064579,0.031083,0.02087,0.064155,0.125845
47,0.391667,0.017887,0.062228,0.150596,0.027466,0.063574,0.251072,0.024729,0.064652,0.031156,0.020911,0.064089,0.12579
48,0.4,0.017867,0.062256,0.150448,0.02743,0.063595,0.251507,0.02474,0.064533,0.030598,0.021012,0.064251,0.125899
49,0.408333,0.017734,0.062323,0.150475,0.027544,0.063662,0.251943,0.024807,0.064202,0.030077,0.020983,0.064225,0.125537
50,0.416667,0.017437,0.062346,0.150439,0.027602,0.063637,0.251638,0.024814,0.064245,0.03029,0.02098,0.064084,0.125669
51,0.425,0.017544,0.062307,0.150458,0.027677,0.063633,0.251136,0.024808,0.064353,0.030921,0.020884,0.064163,0.125764
52,0.433333,0.01772,0.06231,0.150531,0.027671,0.063656,0.250975,0.024839,0.064616,0.03106,0.0208,0.064162,0.125795
53,0.441667,0.017713,0.062301,0.150487,0.027538,0.063656,0.251027,0.024771,0.064638,0.031067,0.02087,0.06415,0.125767
54,0.45,0.017692,0.062334,0.150406,0.027615,0.063678,0.2516,0.024811,0.064418,0.03032,0.020936,0.064304,0.12579
55,0.458333,0.017469,0.062405,0.150414,0.027694,0.063741,0.251783,0.024858,0.064166,0.03004,0.020903,0.064219,0.125473
56,0.466667,0.017271,0.062392,0.150384,0.027752,0.063737,0.251321,0.024861,0.064269,0.030465,0.020876,0.064121,0.125666
57,0.475,0.017426,0.062366,0.150419,0.027812,0.063741,0.250922,0.024878,0.064403,0.030973,0.020759,0.064213,0.125734
58,0.483333,0.017548,0.062369,0.150486,0.027723,0.063761,0.250857,0.024897,0.06463,0.031049,0.02073,0.064174,0.125721
59,0.491667,0.017513,0.06236,0.150381,0.027628,0.063731,0.251006,0.024842,0.064583,0.030875,0.020819,0.064234,0.125776
60,0.5,0.017459,0.062412,0.150379,0.027775,0.063804,0.251578,0.024959,0.064371,0.030129,0.02083,0.064338,0.125616
61,0.508333,0.017165,0.06249,0.150339,0.027838,0.063839,0.25152,0.024919,0.064132,0.030079,0.02081,0.06421,0.125479
62,0.516667,0.017116,0.062452,0.150326,0.02789,0.063808,0.251027,0.024931,0.064281,0.030644,0.020741,0.064178,0.125641
63,0.525,0.017302,0.06244,0.15038,0.027896,0.063866,0.250747,0.024986,0.064494,0.030964,0.02065,0.064242,0.125685
64,0.533333,0.01736,0.062404,0.150426,0.027789,0.063813,0.250708,0.02495,0.06463,0.03103,0.020665,0.064176,0.125638
65,0.541667,0.017336,0.062433,0.150281,0.027754,0.06383,0.251023,0.024923,0.06451,0.030607,0.020765,0.064311,0.125749
66,0.55,0.017259,0.062492,0.150337,0.027915,0.06389,0.251486,0.025003,0.064188,0.030001,0.020751,0.064354,0.125442
67,0.558333,0.016947,0.062559,0.150251,0.027974,0.063917,0.251246,0.025036,0.064281,0.03015,0.020743,0.064207,0.125492
68,0.566667,0.017014,0.062505,0.150269,0.027991,0.063915,0.250772,0.025019,0.06433,0.030766,0.020649,0.064231,0.12561
69,0.575,0.017188,0.062498,0.150355,0.027973,0.063909,0.250599,0.025058,0.064499,0.030964,0.020577,0.064261,0.125636
70,0.583333,0.017166,0.062482,0.150336,0.027875,0.063852,0.250626,0.025033,0.064622,0.030991,0.020609,0.064204,0.125602
71,0.591667,0.017148,0.062533,0.150237,0.02795,0.0639,0.251067,0.025043,0.064372,0.030331,0.020689,0.064378,0.12569
72,0.6,0.016983,0.062595,0.150281,0.02809,0.063996,0.251331,0.025114,0.064166,0.029955,0.020649,0.064359,0.125349
73,0.608333,0.016745,0.062612,0.150194,0.028113,0.064002,0.250925,0.025068,0.064243,0.030304,0.020642,0.06423,0.125504
74,0.616667,0.01691,0.062575,0.150225,0.028134,0.063989,0.250519,0.025095,0.064374,0.03084,0.020554,0.064272,0.125575
75,0.625,0.017007,0.062528,0.150304,0.028096,0.063944,0.250419,0.025121,0.064523,0.030929,0.02051,0.064266,0.125564
