Format Version,1.21,Take Name,circular_inextensible_tsample_0pt5s_dutycycle35_000,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-09 11.51.49.565 AM,Total Frames in Take,21975,Total Exported Frames,21975,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2599,Unlabeled:2599,Unlabeled:2599,Unlabeled:2604,Unlabeled:2604,Unlabeled:2604,Unlabeled:2626,Unlabeled:2626,Unlabeled:2626,Unlabeled:2637,Unlabeled:2637,Unlabeled:2637,Unlabeled:2638,Unlabeled:2638,Unlabeled:2638,Unlabeled:2641,Unlabeled:2641,Unlabeled:2641,Unlabeled:2627,Unlabeled:2627,Unlabeled:2627,Unlabeled:2644,Unlabeled:2644,Unlabeled:2644
,,"8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A54","8392B20CF49E3570A54","8392B20CF49E3570A54"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175000,0.165927,0.075609,0.100274,0.176320,0.068683,0.264532,0.170283,0.075684,0.167126,0.169492,0.074702,0.151702,0.173711,0.072692,0.216003,0.168823,0.077471,0.051972,,,,,,
22,0.183333,0.165929,0.075607,0.100279,0.176322,0.068685,0.264534,0.170284,0.075679,0.167125,0.169493,0.074702,0.151707,0.173710,0.072688,0.216008,0.168822,0.077465,0.051969,,,,,,
23,0.191667,0.165931,0.075612,0.100280,0.176325,0.068681,0.264530,0.170281,0.075679,0.167131,0.169498,0.074701,0.151702,0.173711,0.072690,0.216005,0.168824,0.077472,0.051971,,,,,,
24,0.200000,0.165927,0.075610,0.100277,0.176324,0.068682,0.264537,0.170279,0.075685,0.167135,0.169495,0.074701,0.151707,0.173714,0.072692,0.216008,0.168824,0.077461,0.051969,,,,,,
25,0.208333,0.165927,0.075610,0.100276,0.176323,0.068688,0.264536,0.170286,0.075680,0.167131,0.169495,0.074698,0.151704,0.173715,0.072694,0.216007,0.168822,0.077461,0.051966,,,,,,
26,0.216667,0.165927,0.075606,0.100277,0.176321,0.068685,0.264537,0.170286,0.075678,0.167136,0.169495,0.074699,0.151706,0.173712,0.072691,0.216010,0.168818,0.077470,0.051978,,,,,,
27,0.225000,0.165927,0.075609,0.100274,0.176322,0.068685,0.264533,0.170286,0.075687,0.167124,0.169495,0.074700,0.151704,0.173716,0.072691,0.216005,0.168823,0.077470,0.051971,,,,,,
28,0.233333,0.165925,0.075609,0.100277,0.176323,0.068685,0.264531,0.170283,0.075682,0.167131,0.169492,0.074702,0.151707,0.173713,0.072693,0.216009,0.168825,0.077457,0.051967,,,,,,
29,0.241667,0.165929,0.075611,0.100272,0.176321,0.068679,0.264531,0.170290,0.075697,0.167122,0.169495,0.074700,0.151699,0.173714,0.072685,0.216001,0.168822,0.077464,0.051963,,,,,,
30,0.250000,0.165930,0.075608,0.100272,0.176324,0.068685,0.264530,0.170282,0.075682,0.167129,0.169492,0.074698,0.151705,0.173714,0.072692,0.216005,0.168826,0.077468,0.051967,,,,,,
31,0.258333,0.165932,0.075610,0.100276,0.176324,0.068683,0.264529,0.170282,0.075680,0.167129,0.169494,0.074697,0.151705,0.173711,0.072683,0.216008,0.168826,0.077458,0.051959,,,,,,
32,0.266667,0.165929,0.075610,0.100279,0.176325,0.068688,0.264533,0.170283,0.075688,0.167128,0.169500,0.074705,0.151703,0.173715,0.072691,0.216010,0.168823,0.077472,0.051973,,,,,,
33,0.275000,0.165927,0.075611,0.100274,0.176322,0.068687,0.264530,0.170282,0.075677,0.167129,0.169494,0.074701,0.151707,0.173709,0.072686,0.216009,0.168823,0.077462,0.051972,,,,,,
34,0.283333,0.165931,0.075610,0.100278,0.176320,0.068689,0.264534,0.170279,0.075685,0.167123,0.169494,0.074702,0.151707,0.173713,0.072690,0.216009,0.168828,0.077457,0.051965,,,,,,
35,0.291667,0.165926,0.075609,0.100280,0.176321,0.068684,0.264535,0.170277,0.075686,0.167129,0.169497,0.074700,0.151703,0.173712,0.072692,0.216009,0.168820,0.077462,0.051966,,,,,,
36,0.300000,0.165927,0.075609,0.100280,0.176320,0.068688,0.264535,0.170279,0.075691,0.167128,0.169490,0.074700,0.151706,0.173716,0.072691,0.216010,0.168820,0.077462,0.051968,,,,,,
37,0.308333,0.165928,0.075610,0.100279,0.176324,0.068684,0.264536,0.170283,0.075684,0.167134,0.169492,0.074704,0.151710,0.173709,0.072692,0.216009,0.168820,0.077471,0.051970,,,,,,
38,0.316667,0.165924,0.075611,0.100278,0.176319,0.068684,0.264532,0.170275,0.075684,0.167130,0.169494,0.074700,0.151706,0.173712,0.072686,0.216006,0.168824,0.077459,0.051970,,,,,,
39,0.325000,0.165926,0.075608,0.100277,0.176324,0.068688,0.264533,0.170280,0.075683,0.167132,0.169498,0.074701,0.151707,0.173712,0.072692,0.216011,0.168825,0.077479,0.051980,,,,,,
40,0.333333,0.165928,0.075611,0.100278,0.176323,0.068684,0.264534,0.170284,0.075691,0.167132,0.169497,0.074701,0.151705,0.173712,0.072686,0.216006,0.168825,0.077469,0.051964,,,,,,
41,0.341667,0.165932,0.075609,0.100277,0.176325,0.068686,0.264532,0.170288,0.075682,0.167124,0.169496,0.074706,0.151708,0.173717,0.072692,0.216005,0.168821,0.077470,0.051971,,,,,,
42,0.350000,0.165928,0.075610,0.100276,0.176324,0.068687,0.264534,0.170285,0.075689,0.167129,0.169498,0.074702,0.151706,0.173714,0.072689,0.216005,0.168823,0.077467,0.051972,,,,,,
43,0.358333,0.165932,0.075614,0.100275,0.176327,0.068691,0.264533,0.170287,0.075689,0.167130,0.169498,0.074702,0.151703,0.173714,0.072692,0.216006,0.168827,0.077470,0.051972,,,,,,
44,0.366667,0.165930,0.075605,0.100276,0.176324,0.068687,0.264535,0.170283,0.075691,0.167130,0.169498,0.074698,0.151701,0.173712,0.072688,0.216002,0.168827,0.077467,0.051979,,,,,,
45,0.375000,0.165928,0.075611,0.100276,0.176326,0.068689,0.264534,0.170287,0.075697,0.167129,0.169497,0.074700,0.151706,0.173712,0.072687,0.216005,0.168822,0.077464,0.051967,,,,,,
46,0.383333,0.165931,0.075610,0.100279,0.176326,0.068684,0.264531,0.170288,0.075686,0.167127,0.169498,0.074704,0.151701,0.173713,0.072691,0.216007,0.168821,0.077469,0.051963,,,,,,
47,0.391667,0.165932,0.075612,0.100276,0.176323,0.068689,0.264534,0.170289,0.075694,0.167128,0.169495,0.074701,0.151704,0.173713,0.072692,0.216005,0.168826,0.077472,0.051974,,,,,,
48,0.400000,0.165929,0.075609,0.100279,0.176323,0.068686,0.264534,0.170280,0.075685,0.167136,0.169497,0.074704,0.151705,0.173715,0.072691,0.216008,0.168821,0.077474,0.051973,,,,,,
49,0.408333,0.165929,0.075607,0.100278,0.176322,0.068683,0.264536,0.170281,0.075697,0.167134,0.169495,0.074699,0.151708,0.173714,0.072685,0.216007,0.168823,0.077464,0.051973,,,,,,
50,0.416667,0.165930,0.075607,0.100277,0.176325,0.068691,0.264535,0.170284,0.075682,0.167134,0.169497,0.074705,0.151704,0.173713,0.072693,0.216007,0.168824,0.077469,0.051970,,,,,,
51,0.425000,0.165930,0.075608,0.100278,0.176323,0.068686,0.264535,0.170287,0.075693,0.167129,0.169499,0.074702,0.151704,0.173714,0.072692,0.216007,0.168826,0.077469,0.051972,,,,,,
52,0.433333,0.165929,0.075610,0.100273,0.176325,0.068686,0.264534,0.170285,0.075690,0.167126,0.169494,0.074700,0.151707,0.173714,0.072691,0.216009,0.168827,0.077465,0.051966,,,,,,
53,0.441667,0.165928,0.075610,0.100276,0.176322,0.068686,0.264532,0.170283,0.075694,0.167126,0.169497,0.074699,0.151704,0.173711,0.072693,0.216005,0.168822,0.077467,0.051967,,,,,,
54,0.450000,0.165932,0.075611,0.100274,0.176322,0.068684,0.264530,0.170283,0.075688,0.167128,0.169495,0.074699,0.151706,0.173713,0.072686,0.216009,0.168819,0.077470,0.051974,,,,,,
55,0.458333,0.165927,0.075606,0.100276,0.176321,0.068689,0.264530,0.170231,0.075732,0.167136,0.169493,0.074704,0.151704,0.173713,0.072691,0.216002,0.168823,0.077462,0.051969,,,,,,
56,0.466667,0.165930,0.075611,0.100274,0.176322,0.068685,0.264533,0.170288,0.075692,0.167129,0.169495,0.074703,0.151705,0.173716,0.072688,0.216007,0.168824,0.077466,0.051965,,,,,,
57,0.475000,0.165932,0.075610,0.100277,0.176325,0.068688,0.264532,0.170287,0.075693,0.167131,0.169495,0.074706,0.151706,0.173715,0.072696,0.216010,0.168820,0.077471,0.051974,,,,,,
58,0.483333,0.165926,0.075609,0.100281,0.176322,0.068684,0.264535,0.170280,0.075694,0.167126,0.169494,0.074699,0.151709,0.173714,0.072693,0.216010,0.168825,0.077459,0.051969,,,,,,
