Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
31,0.258333,0.322812,0.027618,0.327599,0.316612,0.027161,0.375568,0.319165,0.027887,0.426974,0.319991,0.029587,0.442322,0.323019,0.029838,0.490517,0.325806,0.032231,0.538836
32,0.266667,0.322814,0.027623,0.327597,0.316612,0.027164,0.375568,0.319168,0.027891,0.426975,0.31999,0.029591,0.442322,0.323021,0.029837,0.490519,0.325805,0.032231,0.538837
33,0.275,0.322816,0.027621,0.327596,0.316609,0.027161,0.375569,0.319168,0.027889,0.426966,0.319975,0.029732,0.442303,0.323016,0.029837,0.490514,0.325808,0.032229,0.538831
34,0.283333,0.322816,0.027621,0.327598,0.316616,0.027164,0.375562,0.319169,0.027884,0.426964,0.319993,0.029583,0.44232,0.32302,0.029835,0.490514,0.325812,0.032228,0.538832
35,0.291667,0.322815,0.027622,0.327595,0.316612,0.02716,0.375564,0.319165,0.027889,0.426969,0.319993,0.029591,0.442318,0.323019,0.029837,0.490515,0.325808,0.032227,0.53883
36,0.3,0.322817,0.02762,0.327598,0.316613,0.027163,0.375568,0.31917,0.027891,0.426973,0.319973,0.029742,0.442305,0.323024,0.029837,0.490513,0.32581,0.032228,0.538838
37,0.308333,0.322816,0.027621,0.3276,0.316613,0.027166,0.375576,0.319167,0.027892,0.426975,0.319991,0.029595,0.442326,0.323022,0.029838,0.490521,0.325811,0.032231,0.538836
38,0.316667,0.322816,0.027617,0.327607,0.316616,0.02716,0.375574,0.319168,0.027891,0.426978,0.319999,0.029598,0.442332,0.32302,0.029834,0.490523,0.32581,0.032232,0.538841
39,0.325,0.322815,0.02762,0.327604,0.316615,0.027166,0.375577,0.319167,0.027888,0.426978,0.319998,0.029585,0.442334,0.323022,0.029838,0.490522,0.325807,0.032234,0.538843
40,0.333333,0.322815,0.027621,0.327606,0.316612,0.027162,0.375575,0.319167,0.027893,0.426981,0.319986,0.029597,0.442333,0.323019,0.029836,0.490527,0.325806,0.032234,0.538844
41,0.341667,0.322814,0.027625,0.327607,0.316613,0.027169,0.375572,0.319165,0.027891,0.426976,0.319971,0.029735,0.442313,0.323019,0.029841,0.490524,0.325806,0.032237,0.538845
42,0.35,0.322811,0.027618,0.327603,0.31661,0.027161,0.375572,0.319165,0.02789,0.426978,0.31997,0.029734,0.44231,0.323014,0.029833,0.49052,0.325803,0.032231,0.538843
43,0.358333,0.32281,0.02762,0.327606,0.316609,0.027163,0.375573,0.319164,0.027887,0.426976,0.31997,0.029739,0.442307,0.323014,0.029837,0.490522,0.325803,0.032229,0.538839
44,0.366667,0.322804,0.027619,0.327603,0.316606,0.027163,0.375571,0.319162,0.027888,0.426979,0.319966,0.029736,0.442311,0.323013,0.029836,0.490521,0.325801,0.032233,0.538839
45,0.375,0.322809,0.027624,0.327603,0.316605,0.027167,0.37557,0.319162,0.027888,0.426976,0.319986,0.029598,0.442322,0.323015,0.029835,0.490522,0.325803,0.032234,0.538837
46,0.383333,0.322807,0.027621,0.327602,0.316605,0.027161,0.375571,0.319162,0.02789,0.426976,0.319983,0.029597,0.442325,0.323013,0.029837,0.490521,0.325803,0.032231,0.53884
47,0.391667,0.32281,0.027619,0.327606,0.31661,0.027159,0.375574,0.319163,0.027884,0.42698,0.319992,0.02989,0.442362,0.323019,0.029833,0.490523,0.325806,0.03223,0.538839
48,0.4,0.322814,0.027622,0.327606,0.316611,0.027164,0.375577,0.319167,0.027891,0.426976,0.319991,0.0296,0.44233,0.323018,0.029834,0.490523,0.325807,0.032232,0.538841
49,0.408333,0.322818,0.027623,0.327602,0.316616,0.027164,0.375572,0.31917,0.027889,0.426975,0.319996,0.029591,0.44233,0.323021,0.029836,0.490523,0.32581,0.03223,0.538841
50,0.416667,0.322825,0.027622,0.327608,0.31662,0.027166,0.375575,0.319174,0.027896,0.426987,0.320009,0.029835,0.442384,0.323025,0.029838,0.490524,0.325811,0.032234,0.538839
51,0.425,0.322824,0.027626,0.327603,0.316618,0.027164,0.375572,0.319173,0.027894,0.426977,0.319975,0.029737,0.44231,0.323025,0.029836,0.490522,0.325814,0.032234,0.538836
52,0.433333,0.322825,0.027627,0.327603,0.316622,0.027166,0.375572,0.319173,0.027896,0.426974,0.319976,0.029739,0.44231,0.323025,0.029835,0.490521,0.325811,0.032238,0.538842
53,0.441667,0.322823,0.027623,0.327603,0.316619,0.027165,0.375571,0.31917,0.027892,0.426973,0.319975,0.029733,0.442303,0.32302,0.029839,0.490518,0.325809,0.032234,0.538838
54,0.45,0.322821,0.027628,0.327601,0.316616,0.027163,0.375569,0.31917,0.027892,0.426972,0.319993,0.029593,0.442323,0.32302,0.02984,0.490519,0.325807,0.032234,0.538838
55,0.458333,0.322813,0.027619,0.327596,0.316611,0.027165,0.375566,0.319169,0.027895,0.426975,0.31999,0.029591,0.442324,0.323016,0.029836,0.490513,0.325805,0.03223,0.538835
56,0.466667,0.322808,0.027618,0.3276,0.316608,0.027163,0.375567,0.319164,0.027889,0.42697,0.319972,0.029733,0.442304,0.323016,0.029831,0.490516,0.325802,0.032232,0.538832
57,0.475,0.322806,0.02762,0.327603,0.316607,0.027164,0.375568,0.31916,0.027886,0.426972,0.319965,0.029728,0.442306,0.323009,0.029833,0.490517,0.325803,0.032231,0.538834
58,0.483333,0.322804,0.02762,0.3276,0.316605,0.027161,0.375574,0.319159,0.027885,0.426972,0.319997,0.029826,0.442382,0.323014,0.029835,0.490519,0.325801,0.032237,0.538841
59,0.491667,0.322809,0.027626,0.327606,0.316608,0.027161,0.375572,0.319163,0.027886,0.426977,0.319984,0.029591,0.442328,0.323012,0.029833,0.490521,0.325803,0.032232,0.538839
60,0.5,0.322807,0.027621,0.327605,0.316605,0.027162,0.375574,0.319166,0.027887,0.426975,0.319965,0.029736,0.442311,0.323015,0.029833,0.490524,0.325803,0.032231,0.538841
61,0.508333,0.322814,0.027622,0.327608,0.316612,0.027162,0.375575,0.319166,0.02789,0.426981,0.320002,0.029829,0.442383,0.323018,0.02984,0.490522,0.325808,0.032233,0.538841
