Format Version,1.21,Take Name,circular_inextensible_tsample_0.5s,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-04 04.52.15.234 PM,Total Frames in Take,22369,Total Exported Frames,22369,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2377,Unlabeled:2377,Unlabeled:2377,Unlabeled:2398,Unlabeled:2398,Unlabeled:2398,Unlabeled:2403,Unlabeled:2403,Unlabeled:2403,Unlabeled:2408,Unlabeled:2408,Unlabeled:2408,Unlabeled:2411,Unlabeled:2411,Unlabeled:2411,Unlabeled:2413,Unlabeled:2413,Unlabeled:2413
,,"8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096D","8392B20CF49E357096D","8392B20CF49E357096D"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,0.208333,0.258406,0.064999,0.099084,0.266621,0.058654,0.261844,0.262548,0.058279,0.310423,0.266600,0.059061,0.198307,0.267067,0.059993,0.213664,0.260727,0.061837,0.147191
26,0.216667,0.258406,0.065001,0.099086,0.266622,0.058656,0.261847,0.262548,0.058282,0.310426,0.266598,0.059069,0.198310,0.267071,0.059993,0.213670,0.260727,0.061839,0.147190
27,0.225000,0.258405,0.065000,0.099087,0.266618,0.058652,0.261848,0.262548,0.058280,0.310425,0.266599,0.059060,0.198313,0.267074,0.059987,0.213670,0.260723,0.061838,0.147193
28,0.233333,0.258406,0.065001,0.099087,0.266623,0.058655,0.261848,0.262548,0.058279,0.310429,0.266598,0.059065,0.198311,0.267070,0.059987,0.213673,0.260726,0.061838,0.147193
29,0.241667,0.258406,0.065001,0.099089,0.266616,0.058655,0.261849,0.262543,0.058280,0.310430,0.266596,0.059063,0.198313,0.267066,0.059993,0.213674,0.260724,0.061837,0.147194
30,0.250000,0.258405,0.065001,0.099093,0.266619,0.058654,0.261853,0.262544,0.058285,0.310428,0.266598,0.059064,0.198314,0.267070,0.059986,0.213673,0.260726,0.061839,0.147196
31,0.258333,0.258400,0.065001,0.099089,0.266617,0.058653,0.261852,0.262541,0.058282,0.310427,0.266597,0.059069,0.198319,0.267064,0.060000,0.213674,0.260723,0.061840,0.147197
32,0.266667,0.258401,0.065001,0.099092,0.266619,0.058657,0.261853,0.262548,0.058280,0.310429,0.266594,0.059067,0.198316,0.267068,0.060004,0.213677,0.260723,0.061839,0.147198
33,0.275000,0.258397,0.065000,0.099090,0.266617,0.058653,0.261856,0.262541,0.058280,0.310432,0.266594,0.059065,0.198318,0.267068,0.059990,0.213676,0.260720,0.061839,0.147199
34,0.283333,0.258402,0.065002,0.099091,0.266615,0.058647,0.261856,0.262543,0.058278,0.310436,0.266591,0.059064,0.198320,0.267068,0.059999,0.213677,0.260721,0.061839,0.147200
