Format Version,1.21,Take Name,circular_inextensible_tsample_0.5s,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-04 04.52.15.234 PM,Total Frames in Take,22369,Total Exported Frames,22369,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2377,Unlabeled:2377,Unlabeled:2377,Unlabeled:2398,Unlabeled:2398,Unlabeled:2398,Unlabeled:2403,Unlabeled:2403,Unlabeled:2403,Unlabeled:2408,Unlabeled:2408,Unlabeled:2408,Unlabeled:2411,Unlabeled:2411,Unlabeled:2411,Unlabeled:2413,Unlabeled:2413,Unlabeled:2413
,,"8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096D","8392B20CF49E357096D","8392B20CF49E357096D"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3298,27.483333,0.266265,0.058577,0.130607,0.250913,0.055614,0.297595,0.282646,0.050637,0.337025,0.254712,0.054514,0.230587,0.251977,0.056165,0.245347,0.256946,0.057127,0.179174
3299,27.491667,0.266189,0.058509,0.130603,0.251000,0.055541,0.297548,0.282581,0.050562,0.337117,0.254671,0.054532,0.230598,0.251976,0.056174,0.245375,0.257004,0.057101,0.179223
3300,27.500000,0.266177,0.058459,0.130315,0.250762,0.055736,0.297847,0.282839,0.050552,0.337201,0.254767,0.054494,0.230518,0.252004,0.056154,0.245293,0.256926,0.057252,0.179018
3301,27.508333,0.266106,0.058427,0.130524,0.250596,0.055753,0.297759,0.282869,0.050634,0.336899,0.254774,0.054534,0.230641,0.251976,0.056438,0.245389,0.257034,0.057098,0.179229
3302,27.516667,0.266008,0.058542,0.130669,0.250651,0.055681,0.297767,0.282927,0.050636,0.336798,0.254738,0.054515,0.230693,0.251832,0.056306,0.245485,0.257176,0.057164,0.179329
3303,27.525000,0.265939,0.058485,0.130669,0.250741,0.055624,0.297706,0.282852,0.050571,0.336901,0.254704,0.054531,0.230704,0.251839,0.056309,0.245505,0.257219,0.057133,0.179376
3304,27.533333,0.265913,0.058441,0.130392,0.250512,0.055780,0.298001,0.283119,0.050565,0.336961,0.254799,0.054498,0.230630,0.251920,0.056164,0.245371,0.257145,0.057274,0.179171
3305,27.541667,0.265852,0.058424,0.130599,0.250387,0.055785,0.297907,0.283162,0.050627,0.336678,0.254795,0.054529,0.230738,0.251785,0.056330,0.245492,0.257263,0.057127,0.179377
3306,27.550000,0.265789,0.058533,0.130742,0.250456,0.055706,0.297911,0.283213,0.050620,0.336605,0.254771,0.054519,0.230786,0.251752,0.056310,0.245547,0.257385,0.057194,0.179462
3307,27.558333,0.265737,0.058475,0.130738,0.250546,0.055648,0.297859,0.283135,0.050546,0.336700,0.254741,0.054522,0.230795,0.251782,0.056310,0.245568,0.257419,0.057153,0.179496
3308,27.566667,0.265733,0.058431,0.130480,0.250337,0.055804,0.298135,0.283385,0.050537,0.336769,0.254832,0.054480,0.230725,0.251891,0.056423,0.245456,0.257353,0.057283,0.179319
3309,27.575000,0.265667,0.058413,0.130675,0.250230,0.055815,0.298043,0.283421,0.050587,0.336511,0.254817,0.054527,0.230830,0.251700,0.056334,0.245557,0.257463,0.057160,0.179507
3310,27.583333,0.265594,0.058538,0.130835,0.250295,0.055730,0.298037,0.283447,0.050587,0.336445,0.254784,0.054514,0.230881,0.251665,0.056323,0.245617,0.257572,0.057198,0.179589
3311,27.591667,0.265540,0.058492,0.130839,0.250367,0.055679,0.297998,0.283368,0.050521,0.336536,0.254751,0.054520,0.230892,0.251688,0.056316,0.245643,0.257595,0.057171,0.179625
3312,27.600000,0.265532,0.058427,0.130557,0.250182,0.055835,0.298276,0.283599,0.050511,0.336602,0.254861,0.054479,0.230851,0.251686,0.056305,0.245558,0.257528,0.057283,0.179450
3313,27.608333,0.265461,0.058435,0.130771,0.250072,0.055840,0.298167,0.283625,0.050587,0.336338,0.254813,0.054524,0.230919,0.251600,0.056363,0.245622,0.257634,0.057168,0.179638
3314,27.616667,0.265373,0.058543,0.130909,0.250138,0.055769,0.298160,0.283645,0.050586,0.336287,0.254789,0.054513,0.230965,0.251571,0.056339,0.245691,0.257744,0.057200,0.179716
3315,27.625000,0.265322,0.058489,0.130911,0.250218,0.055699,0.298114,0.283551,0.050510,0.336393,0.254759,0.054513,0.230975,0.251602,0.056325,0.245711,0.257765,0.057174,0.179755
3316,27.633333,0.265317,0.058432,0.130646,0.250021,0.055866,0.298410,0.283803,0.050506,0.336433,0.254873,0.054471,0.230941,0.251599,0.056319,0.245628,0.257699,0.057283,0.179574
3317,27.641667,0.265241,0.058429,0.130847,0.249914,0.055864,0.298291,0.283828,0.050583,0.336187,0.254834,0.054518,0.231017,0.251616,0.056480,0.245674,0.257800,0.057164,0.179769
3318,27.650000,0.265158,0.058539,0.130998,0.249985,0.055786,0.298285,0.283830,0.050577,0.336145,0.254814,0.054501,0.231073,0.251595,0.056463,0.245740,0.257919,0.057197,0.179854
3319,27.658333,0.265104,0.058495,0.131002,0.250070,0.055728,0.298244,0.283747,0.050501,0.336254,0.254782,0.054502,0.231082,0.251624,0.056449,0.245770,0.257917,0.057167,0.179893
3320,27.666667,0.265094,0.058426,0.130731,0.249861,0.055902,0.298542,0.283987,0.050512,0.336294,0.254892,0.054465,0.231054,0.251612,0.056450,0.245684,0.257840,0.057276,0.179705
3321,27.675000,0.265038,0.058426,0.130934,0.249753,0.055892,0.298423,0.284011,0.050590,0.336035,0.254834,0.054531,0.231113,0.251514,0.056505,0.245751,0.257957,0.057169,0.179900
3322,27.683333,0.264965,0.058538,0.131082,0.249821,0.055812,0.298416,0.284014,0.050584,0.335985,0.254811,0.054500,0.231157,0.251501,0.056475,0.245813,0.258048,0.057202,0.179979
3323,27.691667,0.264912,0.058478,0.131072,0.249907,0.055749,0.298363,0.283939,0.050506,0.336084,0.254780,0.054501,0.231168,0.251544,0.056455,0.245838,0.258041,0.057162,0.180006
3324,27.700000,0.264876,0.058406,0.130789,0.249701,0.055919,0.298646,0.284166,0.050527,0.336133,0.254892,0.054469,0.231127,0.251534,0.056446,0.245753,0.257970,0.057266,0.179813
3325,27.708333,0.264819,0.058421,0.131004,0.249596,0.055912,0.298524,0.284155,0.050600,0.335883,0.254837,0.054528,0.231186,0.251425,0.056524,0.245808,0.258090,0.057171,0.180015
3326,27.716667,0.264750,0.058533,0.131158,0.249661,0.055844,0.298523,0.284155,0.050596,0.335844,0.254819,0.054502,0.231235,0.251407,0.056491,0.245882,0.258178,0.057197,0.180095
3327,27.725000,0.264696,0.058487,0.131154,0.249746,0.055784,0.298477,0.284072,0.050508,0.335960,0.254776,0.054497,0.231241,0.251450,0.056462,0.245899,0.258159,0.057161,0.180126
3328,27.733333,0.264652,0.058412,0.130861,0.249558,0.055934,0.298741,0.284296,0.050528,0.336021,0.254891,0.054468,0.231211,0.251440,0.056483,0.245815,0.258084,0.057249,0.179922
3329,27.741667,0.264629,0.058425,0.131081,0.249457,0.055924,0.298627,0.284290,0.050607,0.335751,0.254831,0.054538,0.231268,0.251331,0.056539,0.245874,0.258198,0.057159,0.180127
3330,27.750000,0.264554,0.058536,0.131246,0.249513,0.055855,0.298627,0.284298,0.050604,0.335720,0.254810,0.054505,0.231322,0.251323,0.056502,0.245943,0.258269,0.057164,0.180206
3331,27.758333,0.264492,0.058491,0.131243,0.249591,0.055809,0.298590,0.284211,0.050522,0.335827,0.254777,0.054498,0.231330,0.251360,0.056482,0.245967,0.258247,0.057136,0.180232
3332,27.766667,0.264459,0.058406,0.130936,0.249407,0.055946,0.298851,0.284433,0.050546,0.335874,0.254871,0.054478,0.231294,0.251327,0.056500,0.245882,0.258197,0.057236,0.180040
3333,27.775000,0.264437,0.058424,0.131171,0.249306,0.055933,0.298731,0.284442,0.050616,0.335607,0.254817,0.054536,0.231357,0.251237,0.056559,0.245927,0.258303,0.057139,0.180239
3334,27.783333,0.264370,0.058537,0.131320,0.249368,0.055866,0.298735,0.284451,0.050613,0.335567,0.254799,0.054502,0.231409,0.251239,0.056518,0.245995,0.258362,0.057146,0.180308
3335,27.791667,0.264330,0.058493,0.131316,0.249442,0.055823,0.298676,0.284364,0.050538,0.335665,0.254758,0.054491,0.231408,0.251277,0.056498,0.246007,0.258342,0.057116,0.180331
3336,27.800000,0.264312,0.058382,0.131009,0.249252,0.055961,0.298950,0.284591,0.050566,0.335698,0.254859,0.054474,0.231366,0.251231,0.056510,0.245932,0.258293,0.057210,0.180134
3337,27.808333,0.264282,0.058412,0.131236,0.249162,0.055951,0.298823,0.284594,0.050625,0.335450,0.254793,0.054539,0.231427,0.251144,0.056566,0.245974,0.258398,0.057112,0.180323
3338,27.816667,0.264218,0.058540,0.131394,0.249222,0.055883,0.298815,0.284592,0.050633,0.335407,0.254788,0.054496,0.231483,0.251144,0.056515,0.246034,0.258461,0.057122,0.180388
3339,27.825000,0.264185,0.058491,0.131386,0.249298,0.055832,0.298769,0.284517,0.050550,0.335503,0.254752,0.054488,0.231476,0.251193,0.056503,0.246044,0.258440,0.057089,0.180407
3340,27.833333,0.264170,0.058374,0.131070,0.249103,0.055985,0.299024,0.284742,0.050579,0.335538,0.254837,0.054473,0.231437,0.251138,0.056523,0.245970,0.258397,0.057188,0.180218
3341,27.841667,0.264152,0.058419,0.131307,0.249031,0.055962,0.298907,0.284744,0.050640,0.335292,0.254768,0.054532,0.231490,0.251048,0.056558,0.246010,0.258503,0.057087,0.180408
3342,27.850000,0.264079,0.058552,0.131466,0.249085,0.055897,0.298902,0.284740,0.050627,0.335256,0.254769,0.054494,0.231543,0.251055,0.056529,0.246071,0.258550,0.057092,0.180472
3343,27.858333,0.264050,0.058486,0.131449,0.249156,0.055850,0.298849,0.284652,0.050544,0.335359,0.254727,0.054480,0.231538,0.251086,0.056505,0.246075,0.258522,0.057066,0.180485
3344,27.866667,0.264033,0.058391,0.130893,0.248963,0.055991,0.299168,0.284863,0.050581,0.335386,0.254813,0.054501,0.231617,0.251009,0.056544,0.246110,0.258476,0.057247,0.180270
3345,27.875000,0.263876,0.058370,0.131170,0.248937,0.055935,0.298965,0.284832,0.050618,0.335174,0.254640,0.054628,0.231602,0.250860,0.056315,0.246119,0.258656,0.057141,0.180468
3346,27.883333,0.263785,0.058532,0.131368,0.248963,0.055880,0.299009,0.284795,0.050590,0.335177,0.254631,0.054529,0.231626,0.250848,0.056263,0.246159,0.258640,0.057120,0.180521
3347,27.891667,0.263761,0.058471,0.131312,0.249060,0.055812,0.298939,0.284681,0.050508,0.335272,0.254619,0.054540,0.231697,0.250939,0.056522,0.246242,0.258640,0.057137,0.180565
3348,27.900000,0.263717,0.058378,0.130704,0.248900,0.055953,0.299295,0.284913,0.050515,0.335337,0.254717,0.054546,0.231760,0.250835,0.056274,0.246262,0.258666,0.057292,0.180304
3349,27.908333,0.263516,0.058416,0.131047,0.248894,0.055869,0.299040,0.284855,0.050537,0.335159,0.254557,0.054665,0.231756,0.250743,0.056637,0.246283,0.258854,0.057199,0.180525
3350,27.916667,0.263408,0.058534,0.131213,0.248929,0.055818,0.299100,0.284795,0.050503,0.335203,0.254551,0.054563,0.231773,0.250707,0.056307,0.246303,0.258792,0.057165,0.180573
3351,27.925000,0.263399,0.058474,0.131181,0.249021,0.055759,0.299014,0.284657,0.050441,0.335284,0.254539,0.054557,0.231825,0.250781,0.056279,0.246356,0.258794,0.057161,0.180620
3352,27.933333,0.263355,0.058391,0.130593,0.248864,0.055896,0.299368,0.284917,0.050439,0.335336,0.254640,0.054565,0.231893,0.250730,0.056582,0.246421,0.258854,0.057313,0.180363
3353,27.941667,0.263110,0.058387,0.130930,0.248884,0.055806,0.299103,0.284829,0.050474,0.335179,0.254531,0.054678,0.231915,0.250635,0.056636,0.246409,0.259058,0.057233,0.180577
3354,27.950000,0.262988,0.058542,0.131128,0.248924,0.055759,0.299140,0.284747,0.050417,0.335248,0.254539,0.054569,0.231928,0.250663,0.056569,0.246437,0.258988,0.057190,0.180616
3355,27.958333,0.262952,0.058482,0.131111,0.249014,0.055704,0.299062,0.284621,0.050376,0.335311,0.254512,0.054567,0.231941,0.250708,0.056281,0.246468,0.258983,0.057176,0.180676
3356,27.966667,0.262888,0.058401,0.130507,0.248849,0.055845,0.299413,0.284893,0.050379,0.335353,0.254592,0.054577,0.232004,0.250650,0.056568,0.246535,0.259066,0.057318,0.180418
3357,27.975000,0.262663,0.058389,0.130856,0.248889,0.055739,0.299122,0.284791,0.050417,0.335208,0.254464,0.054712,0.231963,0.250560,0.056654,0.246503,0.259276,0.057247,0.180615
3358,27.983333,0.262559,0.058560,0.131047,0.248930,0.055705,0.299155,0.284696,0.050354,0.335291,0.254506,0.054577,0.232002,0.250594,0.056578,0.246526,0.259214,0.057204,0.180648
3359,27.991667,0.262517,0.058472,0.131016,0.249025,0.055647,0.299071,0.284561,0.050328,0.335338,0.254505,0.054570,0.232022,0.250670,0.056267,0.246554,0.259191,0.057170,0.180713
3360,28.000000,0.262445,0.058393,0.130441,0.248854,0.055791,0.299423,0.284845,0.050323,0.335391,0.254579,0.054587,0.232076,0.250603,0.056554,0.246622,0.259302,0.057326,0.180448
3361,28.008333,0.262261,0.058432,0.130825,0.248905,0.055679,0.299133,0.284723,0.050364,0.335246,0.254455,0.054732,0.232042,0.250523,0.056645,0.246578,0.259523,0.057253,0.180655
3362,28.016667,0.262120,0.058549,0.130993,0.248934,0.055660,0.299165,0.284630,0.050296,0.335335,0.254474,0.054582,0.232042,0.250554,0.056563,0.246597,0.259460,0.057194,0.180698
3363,28.025000,0.262119,0.058490,0.130982,0.249034,0.055600,0.299074,0.284502,0.050278,0.335380,0.254514,0.054571,0.232089,0.250670,0.056520,0.246656,0.259415,0.057147,0.180754
3364,28.033333,0.262033,0.058402,0.130387,0.248870,0.055735,0.299425,0.284783,0.050258,0.335437,0.254609,0.054573,0.232176,0.250559,0.056543,0.246693,0.259526,0.057311,0.180481
3365,28.041667,0.261821,0.058464,0.130806,0.248918,0.055624,0.299124,0.284657,0.050304,0.335279,0.254460,0.054730,0.232099,0.250500,0.056630,0.246652,0.259761,0.057239,0.180689
3366,28.050000,0.261670,0.058584,0.130971,0.248944,0.055616,0.299158,0.284560,0.050249,0.335367,0.254498,0.054580,0.232105,0.250534,0.056531,0.246658,0.259680,0.057168,0.180732
3367,28.058333,0.261660,0.058541,0.130986,0.249052,0.055555,0.299074,0.284432,0.050224,0.335419,0.254561,0.054549,0.232181,0.250634,0.056213,0.246693,0.259628,0.057119,0.180801
3368,28.066667,0.261570,0.058459,0.130397,0.248892,0.055679,0.299430,0.284721,0.050207,0.335482,0.254608,0.054576,0.232239,0.250522,0.056538,0.246761,0.259768,0.057291,0.180526
3369,28.075000,0.261412,0.058490,0.130808,0.248936,0.055579,0.299114,0.284592,0.050265,0.335323,0.254468,0.054733,0.232156,0.250461,0.056628,0.246700,0.259987,0.057230,0.180734
3370,28.083333,0.261299,0.058616,0.130958,0.248978,0.055559,0.299137,0.284493,0.050199,0.335414,0.254558,0.054548,0.232180,0.250527,0.056503,0.246706,0.259906,0.057158,0.180759
3371,28.091667,0.261300,0.058569,0.130952,0.249088,0.055503,0.299041,0.284362,0.050181,0.335462,0.254599,0.054530,0.232226,0.250641,0.056181,0.246740,0.259856,0.057115,0.180814
3372,28.100000,0.261175,0.058496,0.130376,0.248921,0.055630,0.299405,0.284651,0.050143,0.335532,0.254642,0.054556,0.232285,0.250513,0.056499,0.246810,0.260000,0.057292,0.180552
3373,28.108333,0.261002,0.058555,0.130813,0.248969,0.055527,0.299090,0.284521,0.050210,0.335360,0.254508,0.054699,0.232196,0.250474,0.056582,0.246748,0.260191,0.057214,0.180774
3374,28.116667,0.260863,0.058681,0.130954,0.249011,0.055509,0.299114,0.284422,0.050150,0.335456,0.254604,0.054522,0.232221,0.250531,0.056462,0.246760,0.260116,0.057138,0.180799
3375,28.125000,0.260855,0.058629,0.130957,0.249131,0.055451,0.299015,0.284289,0.050137,0.335503,0.254631,0.054514,0.232267,0.250644,0.056162,0.246782,0.260074,0.057107,0.180840
3376,28.133333,0.260736,0.058546,0.130365,0.248958,0.055568,0.299372,0.284568,0.050100,0.335581,0.254666,0.054547,0.232320,0.250505,0.056482,0.246839,0.260219,0.057276,0.180578
3377,28.141667,0.260542,0.058604,0.130805,0.249018,0.055479,0.299046,0.284433,0.050166,0.335405,0.254589,0.054677,0.232258,0.250491,0.056552,0.246784,0.260389,0.057194,0.180785
3378,28.150000,0.260397,0.058703,0.130930,0.249064,0.055445,0.299058,0.284339,0.050106,0.335501,0.254656,0.054490,0.232247,0.250534,0.056139,0.246760,0.260316,0.057125,0.180807
3379,28.158333,0.260406,0.058653,0.130928,0.249192,0.055402,0.298958,0.284206,0.050103,0.335542,0.254684,0.054497,0.232290,0.250669,0.056131,0.246801,0.260275,0.057101,0.180848
3380,28.166667,0.260294,0.058539,0.130323,0.249018,0.055499,0.299311,0.284475,0.050047,0.335635,0.254718,0.054527,0.232335,0.250505,0.056451,0.246869,0.260430,0.057275,0.180584
3381,28.175000,0.260131,0.058594,0.130759,0.249077,0.055415,0.298987,0.284343,0.050114,0.335441,0.254646,0.054659,0.232274,0.250517,0.056520,0.246784,0.260592,0.057181,0.180779
3382,28.183333,0.259980,0.058698,0.130884,0.249134,0.055388,0.299002,0.284256,0.050067,0.335538,0.254709,0.054468,0.232267,0.250563,0.056111,0.246783,0.260512,0.057107,0.180808
3383,28.191667,0.259994,0.058641,0.130884,0.249262,0.055342,0.298899,0.284093,0.050055,0.335615,0.254736,0.054476,0.232303,0.250690,0.056111,0.246807,0.260470,0.057084,0.180844
3384,28.200000,0.259863,0.058545,0.130288,0.249073,0.055443,0.299257,0.284360,0.050012,0.335713,0.254777,0.054505,0.232358,0.250529,0.056133,0.246872,0.260653,0.057268,0.180579
3385,28.208333,0.259695,0.058569,0.130731,0.249140,0.055366,0.298936,0.284244,0.050063,0.335503,0.254725,0.054624,0.232298,0.250565,0.056483,0.246800,0.260788,0.057173,0.180777
3386,28.216667,0.259540,0.058659,0.130857,0.249198,0.055341,0.298952,0.284165,0.050014,0.335600,0.254784,0.054439,0.232287,0.250609,0.056062,0.246801,0.260697,0.057086,0.180800
3387,28.225000,0.259569,0.058628,0.130860,0.249323,0.055295,0.298850,0.284000,0.050019,0.335671,0.254795,0.054453,0.232320,0.250719,0.056078,0.246822,0.260654,0.057078,0.180840
3388,28.233333,0.259437,0.058543,0.130275,0.249120,0.055387,0.299209,0.284266,0.049976,0.335771,0.254833,0.054488,0.232375,0.250549,0.056102,0.246891,0.260857,0.057260,0.180575
3389,28.241667,0.259300,0.058600,0.130746,0.249191,0.055321,0.298893,0.284152,0.050025,0.335558,0.254791,0.054607,0.232326,0.250578,0.056181,0.246815,0.260962,0.057155,0.180788
3390,28.250000,0.259195,0.058669,0.130848,0.249250,0.055284,0.298910,0.284074,0.049981,0.335657,0.254847,0.054423,0.232324,0.250644,0.056041,0.246829,0.260876,0.057082,0.180809
3391,28.258333,0.259257,0.058615,0.130836,0.249376,0.055245,0.298806,0.283900,0.049978,0.335736,0.254857,0.054443,0.232348,0.250786,0.056334,0.246859,0.260832,0.057073,0.180840
3392,28.266667,0.259111,0.058548,0.130251,0.249178,0.055341,0.299160,0.284161,0.049948,0.335836,0.254862,0.054495,0.232379,0.250589,0.056065,0.246901,0.261032,0.057268,0.180568
3393,28.275000,0.258977,0.058636,0.130742,0.249244,0.055274,0.298847,0.284045,0.049987,0.335617,0.254851,0.054583,0.232342,0.250620,0.056152,0.246827,0.261140,0.057155,0.180783
3394,28.283333,0.258874,0.058686,0.130833,0.249305,0.055236,0.298874,0.283984,0.049949,0.335719,0.254912,0.054397,0.232342,0.250715,0.056289,0.246869,0.261048,0.057068,0.180809
3395,28.291667,0.258948,0.058649,0.130823,0.249424,0.055197,0.298765,0.283795,0.049955,0.335808,0.254920,0.054413,0.232374,0.250825,0.056301,0.246880,0.261009,0.057058,0.180842
3396,28.300000,0.258767,0.058580,0.130260,0.249225,0.055301,0.299123,0.284064,0.049903,0.335919,0.254929,0.054473,0.232403,0.250622,0.056039,0.246923,0.261209,0.057262,0.180576
3397,28.308333,0.258630,0.058645,0.130748,0.249291,0.055234,0.298810,0.283960,0.049954,0.335681,0.254903,0.054587,0.232355,0.250664,0.056129,0.246859,0.261310,0.057143,0.180809
3398,28.316667,0.258522,0.058699,0.130846,0.249345,0.055186,0.298847,0.283890,0.049915,0.335787,0.254959,0.054402,0.232355,0.250753,0.056268,0.246887,0.261221,0.057050,0.180824
3399,28.325000,0.258619,0.058650,0.130828,0.249473,0.055151,0.298739,0.283696,0.049929,0.335878,0.254960,0.054424,0.232372,0.250871,0.056276,0.246900,0.261187,0.057051,0.180849
3400,28.333333,0.258420,0.058608,0.130248,0.249270,0.055255,0.299085,0.283965,0.049893,0.335986,0.255008,0.054458,0.232424,0.250671,0.056010,0.246939,0.261395,0.057253,0.180590
3401,28.341667,0.258256,0.058691,0.130759,0.249341,0.055183,0.298762,0.283848,0.049916,0.335759,0.254984,0.054561,0.232365,0.250723,0.056089,0.246859,0.261483,0.057144,0.180810
3402,28.350000,0.258156,0.058720,0.130833,0.249398,0.055141,0.298800,0.283786,0.049893,0.335861,0.255051,0.054388,0.232372,0.250814,0.056240,0.246902,0.261378,0.057047,0.180817
3403,28.358333,0.258274,0.058650,0.130805,0.249522,0.055105,0.298695,0.283579,0.049901,0.335943,0.255039,0.054408,0.232388,0.250917,0.056255,0.246914,0.261349,0.057055,0.180846
3404,28.366667,0.258086,0.058631,0.130181,0.249359,0.055161,0.299000,0.283759,0.049865,0.336044,0.255044,0.054463,0.232502,0.250689,0.056002,0.247021,0.261573,0.057272,0.180611
3405,28.375000,0.257913,0.058698,0.130681,0.249477,0.055095,0.298673,0.283589,0.049881,0.335910,0.255007,0.054561,0.232411,0.250736,0.056074,0.246923,0.261678,0.057199,0.180789
3406,28.383333,0.257780,0.058724,0.130736,0.249530,0.055060,0.298688,0.283500,0.049872,0.336006,0.255052,0.054498,0.232406,0.250846,0.056197,0.246935,0.261536,0.057080,0.180779
3407,28.391667,0.257868,0.058682,0.130660,0.249657,0.055022,0.298574,0.283276,0.049876,0.336102,0.255052,0.054422,0.232440,0.250936,0.056225,0.246982,0.261500,0.057109,0.180813
3408,28.400000,0.257618,0.058642,0.130079,0.249607,0.054967,0.298762,0.283182,0.049847,0.336302,0.255005,0.054487,0.232576,0.250738,0.055988,0.247133,0.261799,0.057346,0.180625
3409,28.408333,0.257361,0.058716,0.130495,0.249767,0.054951,0.298489,0.282895,0.049881,0.336330,0.254950,0.054536,0.232475,0.250747,0.056009,0.247028,0.261866,0.057277,0.180731
3410,28.416667,0.257206,0.058750,0.130578,0.249859,0.054914,0.298423,0.282677,0.049850,0.336531,0.255007,0.054391,0.232406,0.250873,0.056190,0.246997,0.261643,0.057114,0.180719
3411,28.425000,0.257261,0.058709,0.130469,0.250009,0.054889,0.298310,0.282316,0.049845,0.336764,0.255007,0.054428,0.232437,0.250965,0.056211,0.247016,0.261627,0.057169,0.180723
3412,28.433333,0.257004,0.058689,0.129902,0.249968,0.054807,0.298510,0.282068,0.049827,0.337096,0.255023,0.054498,0.232581,0.250834,0.055944,0.247171,0.261978,0.057430,0.180515
3413,28.441667,0.256702,0.058761,0.130311,0.250127,0.054773,0.298238,0.281623,0.049840,0.337246,0.254996,0.054520,0.232472,0.250904,0.056255,0.247075,0.262065,0.057351,0.180606
3414,28.450000,0.256480,0.058840,0.130437,0.250274,0.054721,0.298161,0.281313,0.049808,0.337522,0.255085,0.054388,0.232385,0.250944,0.056030,0.247053,0.261831,0.057201,0.180588
3415,28.458333,0.256520,0.058792,0.130298,0.250487,0.054672,0.298061,0.280906,0.049786,0.337816,0.255117,0.054420,0.232417,0.251102,0.056045,0.247081,0.261807,0.057241,0.180581
3416,28.466667,0.256275,0.058733,0.129701,0.250523,0.054603,0.298269,0.280598,0.049728,0.338277,0.255205,0.054482,0.232589,0.251167,0.056197,0.247237,0.262152,0.057514,0.180386
3417,28.475000,0.256018,0.058837,0.130132,0.250648,0.054540,0.298009,0.280079,0.049788,0.338385,0.255328,0.054469,0.232520,0.251234,0.056066,0.247172,0.262261,0.057433,0.180474
3418,28.483333,0.255818,0.058932,0.130270,0.250758,0.054493,0.297915,0.279752,0.049735,0.338591,0.255510,0.054369,0.232418,0.251492,0.055994,0.247105,0.262082,0.057315,0.180436
3419,28.491667,0.255825,0.058892,0.130123,0.250962,0.054445,0.297811,0.279425,0.049741,0.338780,0.255554,0.054446,0.232425,0.251798,0.056114,0.247112,0.262070,0.057345,0.180420
3420,28.500000,0.255582,0.058842,0.129553,0.251015,0.054375,0.298018,0.279231,0.049702,0.339137,0.255680,0.054475,0.232614,0.251771,0.056113,0.247296,0.262391,0.057605,0.180225
3421,28.508333,0.255340,0.058967,0.129964,0.251201,0.054296,0.297731,0.278840,0.049712,0.339155,0.255731,0.054501,0.232474,0.251912,0.056105,0.247169,0.262527,0.057548,0.180299
3422,28.516667,0.255074,0.059079,0.130142,0.251363,0.054261,0.297643,0.278538,0.049655,0.339383,0.255936,0.054443,0.232361,0.252060,0.055958,0.247130,0.262362,0.057416,0.180260
3423,28.525000,0.255031,0.059055,0.129996,0.251568,0.054210,0.297557,0.278165,0.049624,0.339613,0.256083,0.054459,0.232424,0.252258,0.055741,0.247078,0.262344,0.057442,0.180246
3424,28.533333,0.254784,0.058985,0.129426,0.251627,0.054144,0.297774,0.277860,0.049648,0.340022,0.256210,0.054481,0.232576,0.252316,0.055951,0.247353,0.262700,0.057711,0.180012
3425,28.541667,0.254516,0.059073,0.129829,0.251754,0.054059,0.297497,0.277371,0.049717,0.340079,0.256318,0.054501,0.232450,0.252470,0.055703,0.247156,0.262899,0.057664,0.180096
3426,28.550000,0.254191,0.059227,0.130057,0.251871,0.054024,0.297404,0.276979,0.049696,0.340266,0.256592,0.054453,0.232372,0.252832,0.055823,0.247106,0.262769,0.057532,0.180064
3427,28.558333,0.254095,0.059248,0.129938,0.252064,0.053961,0.297315,0.276540,0.049669,0.340526,0.256763,0.054462,0.232418,0.253158,0.056046,0.247147,0.262735,0.057553,0.180046
3428,28.566667,0.253798,0.059150,0.129347,0.252219,0.053892,0.297519,0.276043,0.049597,0.341034,0.256964,0.054484,0.232564,0.253162,0.055866,0.247361,0.263063,0.057816,0.179798
3429,28.575000,0.253587,0.059227,0.129737,0.252391,0.053815,0.297250,0.275463,0.049603,0.341162,0.257172,0.054495,0.232414,0.253455,0.055845,0.247230,0.263339,0.057797,0.179869
3430,28.583333,0.253269,0.059368,0.129992,0.252537,0.053804,0.297127,0.274975,0.049596,0.341302,0.257569,0.054434,0.232318,0.253891,0.055902,0.247157,0.263297,0.057707,0.179831
3431,28.591667,0.253082,0.059407,0.129879,0.252704,0.053760,0.297048,0.274569,0.049563,0.341491,0.257907,0.054390,0.232395,0.254291,0.055756,0.247166,0.263294,0.057720,0.179807
3432,28.600000,0.252687,0.059344,0.129352,0.252869,0.053711,0.297262,0.274325,0.049595,0.341917,0.258182,0.054383,0.232536,0.254472,0.055695,0.247346,0.263643,0.057962,0.179565
