Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
26,0.216667,0.045856,0.037191,0.187022,0.047905,0.038639,0.067839,0.043910,0.035904,0.231330,0.048581,0.039244,0.163256,0.047007,0.039339,0.112222,0.047884,0.036829,0.274463,,,
27,0.225000,0.045850,0.037182,0.187029,0.047905,0.038640,0.067838,0.043908,0.035905,0.231327,0.048572,0.039238,0.163260,0.047006,0.039339,0.112225,0.047874,0.036816,0.274457,,,
28,0.233333,0.045846,0.037189,0.187032,0.047893,0.038946,0.067758,0.043908,0.035905,0.231326,0.048574,0.039248,0.163261,0.047002,0.039334,0.112225,0.047872,0.036810,0.274455,,,
29,0.241667,0.045849,0.037189,0.187025,0.047897,0.038640,0.067835,0.043905,0.035902,0.231326,0.048568,0.039233,0.163256,0.046999,0.039336,0.112224,0.047870,0.036806,0.274448,,,
30,0.250000,0.045849,0.037186,0.187020,0.047892,0.038647,0.067832,0.043901,0.035906,0.231325,0.048569,0.039239,0.163258,0.046997,0.039334,0.112217,0.047869,0.036821,0.274459,,,
31,0.258333,0.045851,0.037185,0.187021,0.047900,0.038644,0.067829,0.043908,0.035906,0.231323,0.048571,0.039235,0.163255,0.046998,0.039334,0.112217,0.047869,0.036811,0.274450,,,
32,0.266667,0.045846,0.037179,0.187020,0.047902,0.038639,0.067838,0.043912,0.035907,0.231324,0.048574,0.039239,0.163258,0.047003,0.039335,0.112221,0.047874,0.036816,0.274456,,,
33,0.275000,0.045852,0.037184,0.187023,0.047907,0.038638,0.067830,0.043913,0.035907,0.231328,0.048576,0.039244,0.163259,0.047005,0.039332,0.112218,0.047881,0.036830,0.274467,,,
34,0.283333,0.045853,0.037190,0.187029,0.047904,0.038643,0.067836,0.043914,0.035907,0.231324,0.048574,0.039241,0.163260,0.047004,0.039336,0.112220,0.047875,0.036819,0.274457,,,
35,0.291667,0.045849,0.037190,0.187022,0.047908,0.038640,0.067842,0.043909,0.035909,0.231327,0.048577,0.039245,0.163263,0.047004,0.039341,0.112222,0.047881,0.036834,0.274465,,,
36,0.300000,0.045849,0.037190,0.187029,0.047902,0.038639,0.067846,0.043915,0.035904,0.231328,0.048577,0.039242,0.163257,0.047005,0.039338,0.112227,0.047878,0.036817,0.274460,,,
37,0.308333,0.045849,0.037195,0.187031,0.047901,0.038639,0.067843,0.043906,0.035908,0.231327,0.048571,0.039235,0.163261,0.047007,0.039342,0.112228,0.047874,0.036824,0.274464,,,
38,0.316667,0.045846,0.037193,0.187029,0.047900,0.038645,0.067836,0.043904,0.035910,0.231326,0.048575,0.039245,0.163262,0.047002,0.039341,0.112224,0.047873,0.036814,0.274457,,,
39,0.325000,0.045849,0.037192,0.187030,0.047903,0.038642,0.067836,0.043904,0.035911,0.231323,0.048571,0.039238,0.163258,0.047001,0.039329,0.112218,0.047873,0.036812,0.274455,,,
40,0.333333,0.045856,0.037186,0.187028,0.047902,0.038642,0.067840,0.043911,0.035902,0.231325,0.048576,0.039240,0.163257,0.047001,0.039342,0.112225,0.047882,0.036817,0.274457,,,
41,0.341667,0.045850,0.037191,0.187025,0.047903,0.038637,0.067833,0.043911,0.035909,0.231328,0.048577,0.039239,0.163258,0.047005,0.039336,0.112224,0.047879,0.036815,0.274456,,,
42,0.350000,0.045852,0.037180,0.187024,0.047906,0.038641,0.067836,0.043914,0.035909,0.231324,0.048574,0.039241,0.163259,0.047003,0.039340,0.112224,0.047878,0.036814,0.274455,,,
43,0.358333,0.045856,0.037186,0.187027,0.047900,0.038644,0.067833,0.043910,0.035901,0.231323,0.048580,0.039243,0.163261,0.047007,0.039422,0.112310,0.047882,0.036824,0.274461,,,
