Format Version,1.21,Take Name,E1L_3_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 10.31.57.662 AM,Total Frames in Take,196,Total Exported Frames,196,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:555,Unlabeled:555,Unlabeled:555,Unlabeled:563,Unlabeled:563,Unlabeled:563
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570233"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.010054,0.025503,0.185427,-0.031641,0.024782,0.132106,-0.010035,0.025545,0.246352
1,0.008333,0.010054,0.025506,0.185428,-0.031637,0.024781,0.132106,-0.010033,0.025554,0.246352
2,0.016667,0.010055,0.025504,0.185424,-0.031637,0.024777,0.132106,-0.010036,0.025549,0.246350
3,0.025000,0.010056,0.025507,0.185428,-0.031639,0.024783,0.132108,-0.010035,0.025547,0.246349
4,0.033333,0.010054,0.025506,0.185428,-0.031639,0.024784,0.132108,-0.010035,0.025549,0.246349
5,0.041667,0.010053,0.025509,0.185426,-0.031637,0.024786,0.132110,-0.010035,0.025549,0.246351
6,0.050000,0.010053,0.025507,0.185430,-0.031641,0.024783,0.132112,-0.010036,0.025548,0.246350
7,0.058333,0.010051,0.025505,0.185429,-0.031637,0.024783,0.132112,-0.010034,0.025548,0.246349
8,0.066667,0.010054,0.025512,0.185430,-0.031637,0.024784,0.132112,-0.010033,0.025550,0.246349
9,0.075000,0.010051,0.025512,0.185425,-0.031635,0.024781,0.132112,-0.010037,0.025544,0.246350
10,0.083333,0.010051,0.025510,0.185429,-0.031638,0.024781,0.132111,-0.010036,0.025553,0.246345
11,0.091667,0.010048,0.025510,0.185429,-0.031640,0.024779,0.132114,-0.010036,0.025549,0.246346
12,0.100000,0.010047,0.025507,0.185431,-0.031640,0.024780,0.132112,-0.010040,0.025543,0.246351
13,0.108333,0.010047,0.025505,0.185427,-0.031639,0.024783,0.132114,-0.010036,0.025551,0.246348
14,0.116667,0.010047,0.025509,0.185430,-0.031640,0.024783,0.132114,-0.010038,0.025551,0.246349
15,0.125000,0.010046,0.025510,0.185433,-0.031640,0.024785,0.132114,-0.010037,0.025548,0.246347
16,0.133333,0.010046,0.025510,0.185429,-0.031638,0.024783,0.132114,-0.010039,0.025552,0.246347
17,0.141667,0.010048,0.025513,0.185430,-0.031635,0.024783,0.132113,-0.010036,0.025548,0.246346
18,0.150000,0.010049,0.025510,0.185432,-0.031638,0.024783,0.132113,-0.010036,0.025550,0.246344
19,0.158333,0.010049,0.025512,0.185428,-0.031635,0.024783,0.132109,-0.010034,0.025553,0.246347
20,0.166667,0.010047,0.025512,0.185430,-0.031637,0.024782,0.132114,-0.010035,0.025547,0.246348
21,0.175000,0.010049,0.025512,0.185431,-0.031636,0.024785,0.132112,-0.010035,0.025550,0.246350
22,0.183333,0.010049,0.025508,0.185431,-0.031639,0.024781,0.132112,-0.010037,0.025554,0.246346
23,0.191667,0.010048,0.025506,0.185429,-0.031639,0.024784,0.132110,-0.010035,0.025550,0.246348
24,0.200000,0.010049,0.025511,0.185425,-0.031637,0.024782,0.132109,-0.010037,0.025553,0.246346
25,0.208333,0.010049,0.025511,0.185427,-0.031637,0.024783,0.132112,-0.010035,0.025548,0.246346
26,0.216667,0.010046,0.025510,0.185432,-0.031634,0.024784,0.132112,-0.010034,0.025551,0.246349
27,0.225000,0.010048,0.025514,0.185431,-0.031637,0.024779,0.132110,-0.010036,0.025549,0.246349
28,0.233333,0.010048,0.025510,0.185432,-0.031638,0.024784,0.132112,-0.010038,0.025547,0.246352
29,0.241667,0.010048,0.025508,0.185430,-0.031639,0.024784,0.132114,-0.010035,0.025552,0.246350
30,0.250000,0.010047,0.025508,0.185434,-0.031638,0.024783,0.132117,-0.010037,0.025553,0.246348
31,0.258333,0.010044,0.025509,0.185433,-0.031639,0.024780,0.132114,-0.010038,0.025549,0.246349
32,0.266667,0.010043,0.025513,0.185429,-0.031639,0.024784,0.132114,-0.010037,0.025550,0.246350
33,0.275000,0.010043,0.025510,0.185429,-0.031638,0.024783,0.132115,-0.010035,0.025550,0.246345
34,0.283333,0.010041,0.025509,0.185428,-0.031638,0.024783,0.132121,-0.010043,0.025546,0.246347
35,0.291667,0.010044,0.025509,0.185433,-0.031636,0.024785,0.132119,-0.010040,0.025551,0.246344
36,0.300000,0.010040,0.025510,0.185431,-0.031639,0.024782,0.132117,-0.010039,0.025547,0.246346
37,0.308333,0.010041,0.025510,0.185433,-0.031637,0.024781,0.132116,-0.010042,0.025548,0.246343
38,0.316667,0.010039,0.025512,0.185434,-0.031639,0.024784,0.132118,-0.010040,0.025547,0.246346
39,0.325000,0.010039,0.025511,0.185430,-0.031638,0.024782,0.132118,-0.010045,0.025552,0.246341
40,0.333333,0.010036,0.025513,0.185432,-0.031638,0.024781,0.132120,-0.010041,0.025550,0.246338
41,0.341667,0.010035,0.025507,0.185431,-0.031638,0.024780,0.132121,-0.010045,0.025551,0.246339
42,0.350000,0.010034,0.025513,0.185432,-0.031637,0.024783,0.132122,-0.010042,0.025554,0.246336
43,0.358333,0.010030,0.025512,0.185429,-0.031636,0.024783,0.132121,-0.010043,0.025555,0.246335
44,0.366667,0.010030,0.025508,0.185431,-0.031636,0.024782,0.132123,-0.010044,0.025548,0.246332
45,0.375000,0.010028,0.025513,0.185432,-0.031637,0.024786,0.132123,-0.010047,0.025551,0.246337
46,0.383333,0.010025,0.025513,0.185430,-0.031638,0.024786,0.132124,-0.010044,0.025548,0.246335
47,0.391667,0.010025,0.025509,0.185434,-0.031637,0.024784,0.132125,-0.010048,0.025551,0.246337
48,0.400000,0.010023,0.025510,0.185434,-0.031639,0.024781,0.132128,-0.010047,0.025545,0.246333
49,0.408333,0.010024,0.025510,0.185433,-0.031638,0.024782,0.132127,-0.010052,0.025555,0.246336
50,0.416667,0.010021,0.025512,0.185433,-0.031634,0.024786,0.132128,-0.010049,0.025555,0.246331
51,0.425000,0.010019,0.025508,0.185434,-0.031634,0.024786,0.132129,-0.010047,0.025549,0.246328
52,0.433333,0.010022,0.025510,0.185434,-0.031640,0.024784,0.132127,-0.010048,0.025548,0.246335
53,0.441667,0.010019,0.025511,0.185434,-0.031639,0.024785,0.132126,-0.010049,0.025551,0.246331
54,0.450000,0.010023,0.025509,0.185435,-0.031638,0.024782,0.132130,-0.010051,0.025554,0.246330
55,0.458333,0.010018,0.025514,0.185435,-0.031638,0.024785,0.132131,-0.010048,0.025553,0.246330
56,0.466667,0.010018,0.025515,0.185435,-0.031638,0.024784,0.132133,-0.010050,0.025550,0.246326
57,0.475000,0.010017,0.025509,0.185435,-0.031634,0.024787,0.132133,-0.010048,0.025552,0.246331
58,0.483333,0.010012,0.025511,0.185435,-0.031636,0.024788,0.132131,-0.010053,0.025556,0.246326
59,0.491667,0.010019,0.025512,0.185436,-0.031635,0.024785,0.132134,-0.010050,0.025553,0.246331
60,0.500000,0.010018,0.025510,0.185436,-0.031636,0.024784,0.132131,-0.010049,0.025554,0.246325
61,0.508333,0.010014,0.025512,0.185435,-0.031635,0.024787,0.132133,-0.010050,0.025549,0.246328
62,0.516667,0.010014,0.025514,0.185436,-0.031635,0.024786,0.132134,-0.010048,0.025555,0.246324
63,0.525000,0.010013,0.025515,0.185436,-0.031634,0.024782,0.132134,-0.010054,0.025549,0.246327
64,0.533333,0.010016,0.025517,0.185435,-0.031633,0.024790,0.132131,-0.010050,0.025552,0.246326
65,0.541667,0.010014,0.025517,0.185435,-0.031635,0.024787,0.132135,-0.010055,0.025555,0.246324
66,0.550000,0.010011,0.025513,0.185435,-0.031635,0.024782,0.132132,-0.010053,0.025552,0.246322
67,0.558333,0.010012,0.025512,0.185436,-0.031636,0.024785,0.132133,-0.010051,0.025549,0.246322
68,0.566667,0.010008,0.025512,0.185435,-0.031638,0.024787,0.132135,-0.010054,0.025552,0.246325
69,0.575000,0.010006,0.025513,0.185436,-0.031637,0.024786,0.132137,-0.010057,0.025553,0.246322
70,0.583333,0.010008,0.025513,0.185438,-0.031638,0.024781,0.132135,-0.010056,0.025551,0.246324
71,0.591667,0.010005,0.025512,0.185438,-0.031637,0.024785,0.132138,-0.010056,0.025550,0.246320
72,0.600000,0.010004,0.025513,0.185439,-0.031638,0.024788,0.132140,-0.010054,0.025551,0.246320
73,0.608333,0.010003,0.025510,0.185434,-0.031639,0.024787,0.132137,-0.010059,0.025542,0.246318
74,0.616667,0.010001,0.025513,0.185441,-0.031638,0.024786,0.132139,-0.010062,0.025548,0.246322
75,0.625000,0.010003,0.025513,0.185437,-0.031637,0.024786,0.132138,-0.010057,0.025550,0.246319
76,0.633333,0.009999,0.025513,0.185439,-0.031636,0.024785,0.132140,-0.010058,0.025553,0.246314
77,0.641667,0.010001,0.025514,0.185438,-0.031635,0.024786,0.132138,-0.010057,0.025552,0.246315
