Format Version,1.21,Take Name,I1L_3_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.15.17.692 AM,Total Frames in Take,239,Total Exported Frames,239,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:205,Unlabeled:205,Unlabeled:205,Unlabeled:216,Unlabeled:216,Unlabeled:216,Unlabeled:218,Unlabeled:218,Unlabeled:218
,,"8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570DA","8392B20CF49E3570DA","8392B20CF49E3570DA"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
50,0.416667,-0.162550,0.024588,0.091596,-0.122707,0.025448,0.127510,-0.155137,0.026054,0.170284
51,0.425000,-0.162549,0.024588,0.091595,-0.122706,0.025451,0.127504,-0.155137,0.026053,0.170284
52,0.433333,-0.162549,0.024584,0.091595,-0.122709,0.025447,0.127510,-0.155136,0.026051,0.170279
53,0.441667,-0.162510,0.024599,0.091613,-0.122705,0.025449,0.127505,-0.155137,0.026054,0.170283
54,0.450000,-0.162502,0.024602,0.091617,-0.122707,0.025453,0.127504,-0.155134,0.026055,0.170283
55,0.458333,-0.162550,0.024591,0.091599,-0.122708,0.025446,0.127506,-0.155134,0.026059,0.170282
56,0.466667,-0.162547,0.024590,0.091597,-0.122706,0.025452,0.127506,-0.155135,0.026056,0.170284
57,0.475000,-0.162555,0.024584,0.091597,-0.122704,0.025457,0.127511,-0.155132,0.026054,0.170286
58,0.483333,-0.162547,0.024591,0.091593,-0.122707,0.025455,0.127509,-0.155132,0.026054,0.170286
59,0.491667,-0.162507,0.024600,0.091618,-0.122706,0.025454,0.127506,-0.155128,0.026053,0.170283
60,0.500000,-0.162505,0.024600,0.091614,-0.122705,0.025454,0.127504,-0.155132,0.026054,0.170284
61,0.508333,-0.162551,0.024590,0.091590,-0.122704,0.025453,0.127506,-0.155131,0.026051,0.170282
62,0.516667,-0.162550,0.024587,0.091585,-0.122707,0.025455,0.127503,-0.155130,0.026052,0.170283
63,0.525000,-0.162552,0.024588,0.091594,-0.122703,0.025452,0.127505,-0.155133,0.026057,0.170284
64,0.533333,-0.162554,0.024583,0.091593,-0.122712,0.025448,0.127504,-0.155131,0.026054,0.170284
65,0.541667,-0.162506,0.024598,0.091614,-0.122708,0.025454,0.127510,-0.155130,0.026050,0.170287
66,0.550000,-0.162511,0.024592,0.091615,-0.122708,0.025450,0.127508,-0.155128,0.026052,0.170293
67,0.558333,-0.162554,0.024586,0.091598,-0.122705,0.025449,0.127507,-0.155126,0.026059,0.170291
68,0.566667,-0.162552,0.024588,0.091595,-0.122708,0.025454,0.127506,-0.155128,0.026056,0.170291
69,0.575000,-0.162553,0.024586,0.091595,-0.122708,0.025451,0.127509,-0.155129,0.026053,0.170290
70,0.583333,-0.162548,0.024586,0.091593,-0.122711,0.025448,0.127509,-0.155128,0.026053,0.170285
71,0.591667,-0.162506,0.024591,0.091612,-0.122706,0.025446,0.127505,-0.155126,0.026052,0.170285
72,0.600000,-0.162504,0.024599,0.091612,-0.122705,0.025444,0.127503,-0.155127,0.026053,0.170287
73,0.608333,-0.162553,0.024586,0.091593,-0.122705,0.025449,0.127500,-0.155128,0.026053,0.170289
74,0.616667,-0.162548,0.024589,0.091591,-0.122710,0.025446,0.127506,-0.155123,0.026054,0.170288
75,0.625000,-0.162509,0.024597,0.091618,-0.122708,0.025452,0.127506,-0.155126,0.026055,0.170292
76,0.633333,-0.162501,0.024599,0.091611,-0.122709,0.025446,0.127500,-0.155125,0.026054,0.170295
77,0.641667,-0.162551,0.024588,0.091589,-0.122711,0.025441,0.127504,-0.155126,0.026050,0.170289
78,0.650000,-0.162504,0.024599,0.091611,-0.122711,0.025444,0.127505,-0.155126,0.026055,0.170288
79,0.658333,-0.162504,0.024599,0.091614,-0.122711,0.025445,0.127502,-0.155128,0.026052,0.170288
80,0.666667,-0.162507,0.024598,0.091613,-0.122707,0.025448,0.127503,-0.155128,0.026048,0.170288
81,0.675000,-0.162546,0.024588,0.091588,-0.122708,0.025451,0.127506,-0.155122,0.026055,0.170287
82,0.683333,-0.162549,0.024586,0.091597,-0.122710,0.025447,0.127507,-0.155124,0.026053,0.170293
83,0.691667,-0.162504,0.024603,0.091621,-0.122710,0.025446,0.127504,-0.155125,0.026051,0.170291
84,0.700000,-0.162504,0.024598,0.091620,-0.122707,0.025453,0.127509,-0.155119,0.026055,0.170293
85,0.708333,-0.162551,0.024589,0.091596,-0.122709,0.025452,0.127509,-0.155124,0.026049,0.170292
