Format Version,1.21,Take Name,I2_0_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.43.53.408 AM,Total Frames in Take,191,Total Exported Frames,191,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:108,Unlabeled:108,Unlabeled:108,Unlabeled:109,Unlabeled:109,Unlabeled:109,Unlabeled:110,Unlabeled:110,Unlabeled:110
,,"8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
50,0.416667,-0.091878,0.024199,0.147717,-0.087442,0.026102,0.099723,-0.092509,0.023785,0.196110
51,0.425000,-0.091878,0.024198,0.147715,-0.087437,0.026107,0.099716,-0.092507,0.023787,0.196106
52,0.433333,-0.091874,0.024198,0.147712,-0.087438,0.026107,0.099718,-0.092502,0.023787,0.196103
53,0.441667,-0.091870,0.024194,0.147711,-0.087438,0.026105,0.099715,-0.092503,0.023787,0.196101
54,0.450000,-0.091876,0.024195,0.147712,-0.087439,0.026106,0.099717,-0.092504,0.023787,0.196102
55,0.458333,-0.091876,0.024194,0.147712,-0.087438,0.026100,0.099718,-0.092504,0.023790,0.196103
56,0.466667,-0.091877,0.024193,0.147715,-0.087437,0.026105,0.099722,-0.092508,0.023784,0.196103
57,0.475000,-0.091876,0.024197,0.147720,-0.087441,0.026107,0.099723,-0.092507,0.023784,0.196107
58,0.483333,-0.091876,0.024195,0.147717,-0.087442,0.026105,0.099723,-0.092505,0.023785,0.196109
59,0.491667,-0.091880,0.024194,0.147721,-0.087440,0.026107,0.099723,-0.092509,0.023786,0.196107
60,0.500000,-0.091876,0.024197,0.147720,-0.087442,0.026101,0.099723,-0.092505,0.023788,0.196109
61,0.508333,-0.091876,0.024197,0.147719,-0.087438,0.026105,0.099725,-0.092505,0.023786,0.196109
62,0.516667,-0.091877,0.024197,0.147717,-0.087439,0.026106,0.099725,-0.092506,0.023787,0.196106
63,0.525000,-0.091877,0.024197,0.147719,-0.087436,0.026102,0.099723,-0.092506,0.023783,0.196105
64,0.533333,-0.091876,0.024199,0.147718,-0.087440,0.026101,0.099720,-0.092505,0.023785,0.196104
65,0.541667,-0.091877,0.024197,0.147715,-0.087439,0.026104,0.099721,-0.092504,0.023790,0.196107
66,0.550000,-0.091875,0.024197,0.147716,-0.087436,0.026104,0.099717,-0.092505,0.023786,0.196103
67,0.558333,-0.091873,0.024194,0.147714,-0.087436,0.026102,0.099718,-0.092506,0.023785,0.196103
68,0.566667,-0.091876,0.024196,0.147711,-0.087434,0.026106,0.099716,-0.092504,0.023785,0.196103
69,0.575000,-0.091876,0.024200,0.147721,-0.087439,0.026109,0.099722,-0.092506,0.023786,0.196107
70,0.583333,-0.091875,0.024197,0.147715,-0.087438,0.026102,0.099724,-0.092507,0.023792,0.196105
71,0.591667,-0.091879,0.024196,0.147717,-0.087441,0.026106,0.099725,-0.092509,0.023789,0.196106
72,0.600000,-0.091877,0.024197,0.147719,-0.087439,0.026104,0.099720,-0.092510,0.023787,0.196107
73,0.608333,-0.091882,0.024193,0.147719,-0.087444,0.026105,0.099723,-0.092515,0.023786,0.196106
74,0.616667,-0.091881,0.024195,0.147720,-0.087445,0.026101,0.099719,-0.092511,0.023780,0.196108
75,0.625000,-0.091877,0.024199,0.147716,-0.087441,0.026099,0.099721,-0.092509,0.023782,0.196101
76,0.633333,-0.091877,0.024200,0.147714,-0.087438,0.026100,0.099717,-0.092503,0.023783,0.196104
77,0.641667,-0.091875,0.024196,0.147713,-0.087434,0.026106,0.099718,-0.092502,0.023788,0.196102
78,0.650000,-0.091876,0.024195,0.147713,-0.087437,0.026102,0.099718,-0.092503,0.023783,0.196102
79,0.658333,-0.091873,0.024196,0.147719,-0.087433,0.026104,0.099720,-0.092501,0.023785,0.196105
80,0.666667,-0.091871,0.024194,0.147717,-0.087436,0.026099,0.099721,-0.092502,0.023785,0.196110
81,0.675000,-0.091875,0.024195,0.147722,-0.087440,0.026106,0.099724,-0.092507,0.023785,0.196108
82,0.683333,-0.091877,0.024198,0.147721,-0.087439,0.026104,0.099722,-0.092507,0.023787,0.196108
