Format Version,1.21,Take Name,I1L_1.0_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-02 02.16.16.345 PM,Total Frames in Take,172,Total Exported Frames,172,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:160,Unlabeled:160,Unlabeled:160,Unlabeled:170,Unlabeled:170,Unlabeled:170,Unlabeled:172,Unlabeled:172,Unlabeled:172
,,"8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AC","8392B20CF49E3570AC","8392B20CF49E3570AC"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
53,0.441667,0.093694,0.024237,0.092737,0.106874,0.024694,0.187713,0.109160,0.023788,0.138530
54,0.450000,0.093697,0.024239,0.092738,0.106877,0.024691,0.187718,0.109164,0.023821,0.138501
55,0.458333,0.093698,0.024239,0.092741,0.106877,0.024696,0.187718,0.109168,0.023823,0.138508
56,0.466667,0.093699,0.024235,0.092742,0.106875,0.024692,0.187719,0.109168,0.023787,0.138537
57,0.475000,0.093701,0.024244,0.092744,0.106876,0.024691,0.187721,0.109164,0.023819,0.138507
58,0.483333,0.093700,0.024240,0.092743,0.106880,0.024693,0.187721,0.109164,0.023785,0.138539
59,0.491667,0.093699,0.024238,0.092741,0.106879,0.024693,0.187719,0.109164,0.023787,0.138538
60,0.500000,0.093696,0.024233,0.092739,0.106880,0.024696,0.187718,0.109160,0.023816,0.138504
61,0.508333,0.093699,0.024241,0.092738,0.106878,0.024694,0.187717,0.109167,0.023785,0.138529
62,0.516667,0.093700,0.024238,0.092737,0.106876,0.024694,0.187715,0.109163,0.023787,0.138528
63,0.525000,0.093702,0.024240,0.092734,0.106878,0.024694,0.187713,0.109162,0.023823,0.138500
64,0.533333,0.093696,0.024242,0.092738,0.106878,0.024693,0.187715,0.109166,0.023784,0.138532
65,0.541667,0.093697,0.024240,0.092739,0.106879,0.024696,0.187713,0.109161,0.023820,0.138499
66,0.550000,0.093698,0.024240,0.092740,0.106874,0.024695,0.187718,0.109166,0.023789,0.138532
67,0.558333,0.093702,0.024245,0.092741,0.106877,0.024694,0.187718,0.109168,0.023824,0.138502
68,0.566667,0.093700,0.024247,0.092747,0.106877,0.024694,0.187720,0.109164,0.023819,0.138507
69,0.575000,0.093703,0.024239,0.092740,0.106880,0.024693,0.187721,0.109165,0.023828,0.138504
70,0.583333,0.093698,0.024241,0.092746,0.106878,0.024692,0.187719,0.109162,0.023791,0.138534
71,0.591667,0.093698,0.024239,0.092738,0.106880,0.024694,0.187716,0.109164,0.023821,0.138501
72,0.600000,0.093697,0.024243,0.092743,0.106876,0.024696,0.187716,0.109158,0.023823,0.138505
73,0.608333,0.093697,0.024240,0.092740,0.106877,0.024694,0.187713,0.109162,0.023822,0.138501
74,0.616667,0.093700,0.024239,0.092738,0.106875,0.024693,0.187714,0.109161,0.023788,0.138533
75,0.625000,0.093702,0.024237,0.092738,0.106876,0.024693,0.187713,0.109161,0.023818,0.138501
76,0.633333,0.093698,0.024239,0.092739,0.106877,0.024693,0.187719,0.109161,0.023789,0.138532
77,0.641667,0.093702,0.024242,0.092740,0.106879,0.024695,0.187720,0.109168,0.023826,0.138503
78,0.650000,0.093700,0.024240,0.092741,0.106879,0.024694,0.187718,0.109161,0.023822,0.138509
79,0.658333,0.093704,0.024248,0.092744,0.106880,0.024693,0.187718,0.109165,0.023787,0.138536
80,0.666667,0.093701,0.024237,0.092743,0.106877,0.024695,0.187719,0.109164,0.023816,0.138501
81,0.675000,0.093700,0.024239,0.092741,0.106880,0.024696,0.187721,0.109164,0.023792,0.138536
