Format Version,1.21,Take Name,I1L_1.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.07.29.743 AM,Total Frames in Take,327,Total Exported Frames,327,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:196,Unlabeled:196,Unlabeled:196,Unlabeled:200,Unlabeled:200,Unlabeled:200,Unlabeled:201,Unlabeled:201,Unlabeled:201
,,"8392B20CF49E3570C4","8392B20CF49E3570C4","8392B20CF49E3570C4","8392B20CF49E3570C8","8392B20CF49E3570C8","8392B20CF49E3570C8","8392B20CF49E3570C9","8392B20CF49E3570C9","8392B20CF49E3570C9"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.076404,0.025187,0.202008,-0.108887,0.024487,0.110100,-0.087391,0.025484,0.153590
1,0.008333,-0.076406,0.025185,0.202009,-0.108890,0.024486,0.110102,-0.087393,0.025485,0.153588
2,0.016667,-0.076411,0.025192,0.202011,-0.108895,0.024484,0.110097,-0.087395,0.025481,0.153590
3,0.025000,-0.076414,0.025191,0.202009,-0.108895,0.024479,0.110092,-0.087397,0.025477,0.153587
4,0.033333,-0.076415,0.025187,0.202005,-0.108892,0.024479,0.110095,-0.087399,0.025484,0.153587
5,0.041667,-0.076411,0.025188,0.202006,-0.108897,0.024476,0.110088,-0.087397,0.025481,0.153583
6,0.050000,-0.076408,0.025186,0.202004,-0.108892,0.024481,0.110094,-0.087397,0.025482,0.153580
7,0.058333,-0.076405,0.025190,0.202005,-0.108892,0.024475,0.110089,-0.087391,0.025479,0.153584
8,0.066667,-0.076399,0.025189,0.202003,-0.108886,0.024479,0.110091,-0.087389,0.025479,0.153582
9,0.075000,-0.076398,0.025187,0.202000,-0.108891,0.024706,0.110129,-0.087386,0.025482,0.153585
10,0.083333,-0.076396,0.025190,0.202004,-0.108881,0.024482,0.110093,-0.087381,0.025482,0.153585
11,0.091667,-0.076397,0.025189,0.202007,-0.108882,0.024480,0.110096,-0.087384,0.025480,0.153584
12,0.100000,-0.076403,0.025187,0.202006,-0.108887,0.024482,0.110095,-0.087388,0.025483,0.153589
13,0.108333,-0.076406,0.025188,0.202007,-0.108890,0.024480,0.110097,-0.087391,0.025482,0.153587
14,0.116667,-0.076408,0.025190,0.202009,-0.108894,0.024483,0.110096,-0.087396,0.025481,0.153591
15,0.125000,-0.076414,0.025186,0.202010,-0.108897,0.024481,0.110092,-0.087399,0.025483,0.153587
16,0.133333,-0.076416,0.025187,0.202006,-0.108900,0.024477,0.110094,-0.087403,0.025481,0.153589
17,0.141667,-0.076414,0.025185,0.202006,-0.108900,0.024478,0.110095,-0.087401,0.025474,0.153585
