Format Version,1.21,Take Name,E2L_3_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 10.57.28.660 AM,Total Frames in Take,262,Total Exported Frames,262,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:106,Unlabeled:106,Unlabeled:106,Unlabeled:109,Unlabeled:109,Unlabeled:109,Unlabeled:110,Unlabeled:110,Unlabeled:110
,,"8392B20CF49E35706A","8392B20CF49E35706A","8392B20CF49E35706A","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.032563,0.025217,0.087094,0.009128,0.026398,0.138314,-0.023267,0.025643,0.198321
1,0.008333,-0.032563,0.025221,0.087095,0.009124,0.026400,0.138315,-0.023269,0.025644,0.198321
2,0.016667,-0.032563,0.025219,0.087092,0.009124,0.026397,0.138310,-0.023265,0.025643,0.198322
3,0.025000,-0.032563,0.025219,0.087095,0.009123,0.026397,0.138310,-0.023265,0.025639,0.198322
4,0.033333,-0.032562,0.025218,0.087094,0.009126,0.026399,0.138312,-0.023266,0.025645,0.198325
5,0.041667,-0.032562,0.025217,0.087094,0.009124,0.026398,0.138313,-0.023268,0.025644,0.198321
6,0.050000,-0.032561,0.025218,0.087096,0.009126,0.026396,0.138314,-0.023268,0.025642,0.198322
7,0.058333,-0.032561,0.025216,0.087096,0.009125,0.026399,0.138310,-0.023267,0.025640,0.198322
8,0.066667,-0.032561,0.025220,0.087100,0.009125,0.026401,0.138309,-0.023267,0.025640,0.198319
9,0.075000,-0.032559,0.025217,0.087095,0.009126,0.026398,0.138311,-0.023268,0.025638,0.198325
10,0.083333,-0.032563,0.025219,0.087092,0.009124,0.026397,0.138312,-0.023268,0.025641,0.198319
11,0.091667,-0.032566,0.025221,0.087096,0.009123,0.026395,0.138318,-0.023265,0.025642,0.198323
12,0.100000,-0.032564,0.025222,0.087096,0.009122,0.026394,0.138316,-0.023269,0.025643,0.198326
13,0.108333,-0.032563,0.025219,0.087099,0.009126,0.026395,0.138313,-0.023270,0.025645,0.198325
14,0.116667,-0.032565,0.025220,0.087096,0.009122,0.026395,0.138315,-0.023268,0.025641,0.198320
15,0.125000,-0.032564,0.025222,0.087096,0.009121,0.026402,0.138311,-0.023272,0.025644,0.198321
16,0.133333,-0.032563,0.025217,0.087097,0.009126,0.026397,0.138315,-0.023267,0.025647,0.198321
17,0.141667,-0.032563,0.025219,0.087094,0.009128,0.026399,0.138312,-0.023268,0.025642,0.198321
18,0.150000,-0.032560,0.025222,0.087095,0.009127,0.026392,0.138311,-0.023264,0.025645,0.198319
