Format Version,1.21,Take Name,I1L_1_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.06.50.024 AM,Total Frames in Take,346,Total Exported Frames,346,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:196,Unlabeled:196,Unlabeled:196,Unlabeled:200,Unlabeled:200,Unlabeled:200,Unlabeled:201,Unlabeled:201,Unlabeled:201
,,"8392B20CF49E3570C4","8392B20CF49E3570C4","8392B20CF49E3570C4","8392B20CF49E3570C8","8392B20CF49E3570C8","8392B20CF49E3570C8","8392B20CF49E3570C9","8392B20CF49E3570C9","8392B20CF49E3570C9"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.077322,0.025171,0.203036,-0.109434,0.024708,0.111773,-0.090052,0.025037,0.155514
1,0.008333,-0.077323,0.025170,0.203035,-0.109433,0.024711,0.111774,-0.090052,0.025043,0.155516
2,0.016667,-0.077320,0.025172,0.203034,-0.109428,0.024709,0.111775,-0.090051,0.025040,0.155520
3,0.025000,-0.077320,0.025170,0.203036,-0.109434,0.024707,0.111774,-0.090054,0.025032,0.155518
4,0.033333,-0.077322,0.025170,0.203036,-0.109431,0.024705,0.111772,-0.090053,0.025038,0.155519
5,0.041667,-0.077321,0.025175,0.203037,-0.109429,0.024707,0.111771,-0.090053,0.025039,0.155520
6,0.050000,-0.077323,0.025173,0.203035,-0.109437,0.024704,0.111775,-0.090049,0.025038,0.155518
7,0.058333,-0.077323,0.025173,0.203032,-0.109438,0.024707,0.111771,-0.090053,0.025039,0.155516
8,0.066667,-0.077325,0.025174,0.203038,-0.109436,0.024707,0.111774,-0.090050,0.025039,0.155515
9,0.075000,-0.077322,0.025172,0.203031,-0.109433,0.024710,0.111773,-0.090054,0.025036,0.155516
10,0.083333,-0.077324,0.025174,0.203032,-0.109436,0.024709,0.111774,-0.090053,0.025036,0.155517
11,0.091667,-0.077325,0.025172,0.203035,-0.109434,0.024706,0.111773,-0.090051,0.025037,0.155517
12,0.100000,-0.077321,0.025176,0.203034,-0.109436,0.024708,0.111776,-0.090054,0.025037,0.155518
13,0.108333,-0.077322,0.025172,0.203036,-0.109432,0.024710,0.111770,-0.090052,0.025039,0.155516
14,0.116667,-0.077323,0.025174,0.203033,-0.109429,0.024710,0.111773,-0.090047,0.025041,0.155519
15,0.125000,-0.077320,0.025173,0.203036,-0.109432,0.024713,0.111768,-0.090052,0.025038,0.155516
16,0.133333,-0.077322,0.025172,0.203038,-0.109432,0.024708,0.111772,-0.090051,0.025036,0.155519
17,0.141667,-0.077324,0.025174,0.203036,-0.109434,0.024707,0.111772,-0.090054,0.025038,0.155517
