Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.032898,0.027466,0.092002,-0.003852,0.025985,0.150806,0.011347,0.026042,0.049558
1,0.008333,-0.032901,0.027464,0.092007,-0.003852,0.025982,0.150809,0.011350,0.026042,0.049557
2,0.016667,-0.032900,0.027459,0.092006,-0.003855,0.025989,0.150806,0.011349,0.026042,0.049553
3,0.025000,-0.032904,0.027463,0.092000,-0.003854,0.025984,0.150806,0.011349,0.026041,0.049551
4,0.033333,-0.032907,0.027465,0.092000,-0.003858,0.025988,0.150807,0.011346,0.026038,0.049548
5,0.041667,-0.032907,0.027461,0.092000,-0.003858,0.025986,0.150811,0.011348,0.026044,0.049549
6,0.050000,-0.032911,0.027464,0.092001,-0.003858,0.025987,0.150809,0.011349,0.026040,0.049547
7,0.058333,-0.032907,0.027466,0.091997,-0.003860,0.025988,0.150812,0.011349,0.026040,0.049545
8,0.066667,-0.032914,0.027466,0.092000,-0.003857,0.025985,0.150813,0.011351,0.026040,0.049545
9,0.075000,-0.032914,0.027461,0.092002,-0.003857,0.025985,0.150813,0.011350,0.026043,0.049543
10,0.083333,-0.032918,0.027464,0.091997,-0.003857,0.025987,0.150807,0.011353,0.026041,0.049543
11,0.091667,-0.032915,0.027470,0.091998,-0.003856,0.025987,0.150812,0.011350,0.026045,0.049542
12,0.100000,-0.032919,0.027466,0.091995,-0.003860,0.025985,0.150812,0.011348,0.026044,0.049540
13,0.108333,-0.032921,0.027467,0.091998,-0.003854,0.025990,0.150816,0.011346,0.026044,0.049537
14,0.116667,-0.032923,0.027462,0.091999,-0.003859,0.025986,0.150814,0.011347,0.026041,0.049538
15,0.125000,-0.032930,0.027464,0.091999,-0.003858,0.025991,0.150817,0.011348,0.026044,0.049538
16,0.133333,-0.032928,0.027462,0.092001,-0.003862,0.025988,0.150818,0.011350,0.026044,0.049533
17,0.141667,-0.032930,0.027465,0.091997,-0.003858,0.025986,0.150821,0.011346,0.026040,0.049534
18,0.150000,-0.032930,0.027469,0.092000,-0.003862,0.025991,0.150820,0.011345,0.026041,0.049535
19,0.158333,-0.032931,0.027461,0.092003,-0.003861,0.025983,0.150823,0.011348,0.026040,0.049534
20,0.166667,-0.032931,0.027462,0.091997,-0.003860,0.025987,0.150819,0.011349,0.026044,0.049534
21,0.175000,-0.032935,0.027467,0.091995,-0.003861,0.025989,0.150821,0.011346,0.026043,0.049530
22,0.183333,-0.032933,0.027468,0.091999,-0.003858,0.025990,0.150822,0.011346,0.026044,0.049530
23,0.191667,-0.032934,0.027467,0.091996,-0.003862,0.025988,0.150824,0.011349,0.026043,0.049529
24,0.200000,-0.032932,0.027467,0.091997,-0.003859,0.025986,0.150826,0.011349,0.026041,0.049528
25,0.208333,-0.032933,0.027470,0.091998,-0.003862,0.025986,0.150818,0.011348,0.026042,0.049528
26,0.216667,-0.032935,0.027467,0.091998,-0.003862,0.025986,0.150823,0.011348,0.026042,0.049528
27,0.225000,-0.032934,0.027467,0.091995,-0.003857,0.025990,0.150826,0.011351,0.026045,0.049526
28,0.233333,-0.032939,0.027466,0.091994,-0.003861,0.025987,0.150824,0.011347,0.026043,0.049528
29,0.241667,-0.032936,0.027468,0.091999,-0.003861,0.025988,0.150821,0.011351,0.026041,0.049528
30,0.250000,-0.032938,0.027465,0.091996,-0.003860,0.025990,0.150824,0.011347,0.026043,0.049525
31,0.258333,-0.032939,0.027469,0.091995,-0.003860,0.025986,0.150825,0.011348,0.026040,0.049527
32,0.266667,-0.032941,0.027464,0.091997,-0.003859,0.025991,0.150825,0.011348,0.026042,0.049522
33,0.275000,-0.032936,0.027466,0.091996,-0.003863,0.025984,0.150827,0.011350,0.026042,0.049520
34,0.283333,-0.032943,0.027465,0.091995,-0.003864,0.025987,0.150827,0.011348,0.026044,0.049520
35,0.291667,-0.032942,0.027463,0.091999,-0.003862,0.025986,0.150828,0.011348,0.026039,0.049522
36,0.300000,-0.032940,0.027466,0.091999,-0.003865,0.025983,0.150831,0.011349,0.026037,0.049519
37,0.308333,-0.032942,0.027470,0.091997,-0.003863,0.025990,0.150828,0.011347,0.026039,0.049521
38,0.316667,-0.032948,0.027465,0.091995,-0.003861,0.025986,0.150829,0.011349,0.026044,0.049522
39,0.325000,-0.032945,0.027468,0.091997,-0.003865,0.025983,0.150831,0.011350,0.026044,0.049520
40,0.333333,-0.032947,0.027473,0.091998,-0.003861,0.025985,0.150835,0.011344,0.026039,0.049517
41,0.341667,-0.032944,0.027469,0.091996,-0.003866,0.025984,0.150830,0.011346,0.026042,0.049520
42,0.350000,-0.032951,0.027464,0.091997,-0.003863,0.025987,0.150830,0.011348,0.026040,0.049514
43,0.358333,-0.032947,0.027469,0.091994,-0.003866,0.025984,0.150830,0.011347,0.026043,0.049518
44,0.366667,-0.032950,0.027468,0.091991,-0.003866,0.025987,0.150830,0.011351,0.026041,0.049516
45,0.375000,-0.032949,0.027467,0.091992,-0.003864,0.025988,0.150834,0.011350,0.026042,0.049515
46,0.383333,-0.032948,0.027471,0.091995,-0.003862,0.025984,0.150833,0.011351,0.026041,0.049514
47,0.391667,-0.032952,0.027472,0.091991,-0.003864,0.025990,0.150832,0.011351,0.026046,0.049516
48,0.400000,-0.032952,0.027471,0.091993,-0.003862,0.025990,0.150831,0.011351,0.026041,0.049512
49,0.408333,-0.032955,0.027466,0.091994,-0.003861,0.025985,0.150834,0.011349,0.026042,0.049507
50,0.416667,-0.032958,0.027472,0.091996,-0.003865,0.025988,0.150833,0.011351,0.026040,0.049508
51,0.425000,-0.032955,0.027468,0.091993,-0.003863,0.025988,0.150833,0.011350,0.026042,0.049505
52,0.433333,-0.032959,0.027463,0.091990,-0.003868,0.025993,0.150839,0.011350,0.026040,0.049507
53,0.441667,-0.032958,0.027470,0.091991,-0.003865,0.025985,0.150838,0.011345,0.026041,0.049508
54,0.450000,-0.032960,0.027464,0.091993,-0.003869,0.025987,0.150837,0.011349,0.026043,0.049505
55,0.458333,-0.032963,0.027468,0.091990,-0.003871,0.025984,0.150835,0.011348,0.026046,0.049506
56,0.466667,-0.032964,0.027461,0.091990,-0.003868,0.025986,0.150834,0.011348,0.026045,0.049503
57,0.475000,-0.032964,0.027468,0.091988,-0.003869,0.025988,0.150838,0.011345,0.026040,0.049502
58,0.483333,-0.032961,0.027471,0.091994,-0.003865,0.025987,0.150839,0.011350,0.026044,0.049504
59,0.491667,-0.032964,0.027467,0.091994,-0.003867,0.025992,0.150839,0.011348,0.026045,0.049504
60,0.500000,-0.032962,0.027472,0.091989,-0.003866,0.025988,0.150840,0.011350,0.026043,0.049501
61,0.508333,-0.032966,0.027472,0.091994,-0.003868,0.025988,0.150842,0.011349,0.026044,0.049502
62,0.516667,-0.032966,0.027468,0.091992,-0.003873,0.025986,0.150843,0.011349,0.026043,0.049498
63,0.525000,-0.032970,0.027470,0.091988,-0.003872,0.025996,0.150841,0.011347,0.026043,0.049500
64,0.533333,-0.032971,0.027467,0.091989,-0.003870,0.025990,0.150844,0.011351,0.026042,0.049499
65,0.541667,-0.032975,0.027467,0.091992,-0.003869,0.025987,0.150842,0.011350,0.026042,0.049497
66,0.550000,-0.032974,0.027472,0.091992,-0.003870,0.025987,0.150843,0.011351,0.026041,0.049497
67,0.558333,-0.032974,0.027468,0.091991,-0.003870,0.025991,0.150843,0.011349,0.026040,0.049494
68,0.566667,-0.032973,0.027468,0.091987,-0.003871,0.025993,0.150847,0.011351,0.026046,0.049494
69,0.575000,-0.032975,0.027470,0.091990,-0.003871,0.025982,0.150844,0.011351,0.026044,0.049491
70,0.583333,-0.032978,0.027467,0.091988,-0.003872,0.025985,0.150848,0.011353,0.026039,0.049492
71,0.591667,-0.032981,0.027472,0.091989,-0.003868,0.025992,0.150851,0.011352,0.026043,0.049489
72,0.600000,-0.032976,0.027473,0.091988,-0.003870,0.025984,0.150850,0.011351,0.026045,0.049490
73,0.608333,-0.032983,0.027467,0.091985,-0.003869,0.025992,0.150846,0.011350,0.026042,0.049490
74,0.616667,-0.032979,0.027469,0.091991,-0.003870,0.025992,0.150850,0.011348,0.026039,0.049488
