Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.019979,0.027079,0.097393,-0.004807,0.025799,0.152177,-0.002560,0.025729,0.049351
1,0.008333,-0.019976,0.027079,0.097392,-0.004803,0.025797,0.152179,-0.002561,0.025726,0.049353
2,0.016667,-0.019977,0.027080,0.097396,-0.004806,0.025799,0.152177,-0.002564,0.025728,0.049350
3,0.025000,-0.019979,0.027078,0.097389,-0.004803,0.025795,0.152179,-0.002561,0.025729,0.049349
4,0.033333,-0.019978,0.027076,0.097386,-0.004805,0.025796,0.152177,-0.002561,0.025726,0.049349
5,0.041667,-0.019981,0.027078,0.097392,-0.004804,0.025794,0.152179,-0.002564,0.025726,0.049348
6,0.050000,-0.019979,0.027082,0.097389,-0.004806,0.025796,0.152175,-0.002562,0.025728,0.049351
7,0.058333,-0.019974,0.027077,0.097394,-0.004806,0.025800,0.152176,-0.002561,0.025725,0.049357
8,0.066667,-0.019975,0.027081,0.097392,-0.004804,0.025796,0.152176,-0.002560,0.025726,0.049351
9,0.075000,-0.019976,0.027081,0.097395,-0.004804,0.025804,0.152180,-0.002559,0.025730,0.049352
10,0.083333,-0.019972,0.027080,0.097393,-0.004802,0.025801,0.152172,-0.002560,0.025729,0.049353
11,0.091667,-0.019974,0.027080,0.097393,-0.004803,0.025797,0.152177,-0.002559,0.025726,0.049351
12,0.100000,-0.019976,0.027078,0.097391,-0.004806,0.025798,0.152173,-0.002556,0.025731,0.049349
13,0.108333,-0.019971,0.027078,0.097390,-0.004799,0.025803,0.152178,-0.002561,0.025729,0.049352
14,0.116667,-0.019973,0.027079,0.097392,-0.004803,0.025798,0.152174,-0.002562,0.025727,0.049350
15,0.125000,-0.019973,0.027082,0.097391,-0.004803,0.025796,0.152173,-0.002559,0.025730,0.049355
16,0.133333,-0.019972,0.027082,0.097393,-0.004800,0.025802,0.152174,-0.002556,0.025729,0.049354
17,0.141667,-0.019968,0.027086,0.097391,-0.004803,0.025794,0.152174,-0.002558,0.025732,0.049351
18,0.150000,-0.019976,0.027075,0.097390,-0.004802,0.025798,0.152173,-0.002556,0.025729,0.049354
19,0.158333,-0.019972,0.027080,0.097391,-0.004802,0.025800,0.152178,-0.002556,0.025729,0.049351
20,0.166667,-0.019971,0.027074,0.097388,-0.004802,0.025794,0.152168,-0.002562,0.025724,0.049352
21,0.175000,-0.019973,0.027080,0.097390,-0.004803,0.025802,0.152177,-0.002559,0.025730,0.049354
22,0.183333,-0.019972,0.027078,0.097397,-0.004803,0.025799,0.152177,-0.002562,0.025732,0.049354
23,0.191667,-0.019972,0.027079,0.097394,-0.004802,0.025798,0.152175,-0.002559,0.025731,0.049355
24,0.200000,-0.019969,0.027081,0.097397,-0.004802,0.025796,0.152174,-0.002559,0.025729,0.049357
25,0.208333,-0.019967,0.027078,0.097390,-0.004802,0.025800,0.152178,-0.002559,0.025727,0.049359
26,0.216667,-0.019969,0.027073,0.097396,-0.004803,0.025799,0.152175,-0.002559,0.025727,0.049357
27,0.225000,-0.019974,0.027075,0.097394,-0.004802,0.025794,0.152176,-0.002557,0.025726,0.049357
28,0.233333,-0.019967,0.027078,0.097396,-0.004799,0.025797,0.152174,-0.002558,0.025733,0.049352
29,0.241667,-0.019967,0.027078,0.097390,-0.004799,0.025796,0.152169,-0.002555,0.025730,0.049353
30,0.250000,-0.019967,0.027078,0.097390,-0.004804,0.025801,0.152168,-0.002560,0.025727,0.049351
31,0.258333,-0.019964,0.027076,0.097392,-0.004801,0.025799,0.152169,-0.002554,0.025725,0.049356
32,0.266667,-0.019963,0.027077,0.097396,-0.004799,0.025798,0.152171,-0.002557,0.025727,0.049356
33,0.275000,-0.019963,0.027081,0.097394,-0.004799,0.025804,0.152172,-0.002556,0.025730,0.049356
34,0.283333,-0.019963,0.027079,0.097398,-0.004800,0.025795,0.152172,-0.002554,0.025724,0.049356
35,0.291667,-0.019965,0.027080,0.097391,-0.004799,0.025799,0.152171,-0.002554,0.025726,0.049355
36,0.300000,-0.019964,0.027076,0.097391,-0.004801,0.025797,0.152170,-0.002554,0.025727,0.049360
37,0.308333,-0.019964,0.027078,0.097394,-0.004798,0.025798,0.152170,-0.002556,0.025728,0.049354
38,0.316667,-0.019965,0.027079,0.097390,-0.004801,0.025799,0.152171,-0.002559,0.025731,0.049356
39,0.325000,-0.019962,0.027075,0.097396,-0.004802,0.025794,0.152169,-0.002552,0.025729,0.049356
40,0.333333,-0.019962,0.027079,0.097393,-0.004799,0.025801,0.152168,-0.002555,0.025728,0.049361
41,0.341667,-0.019964,0.027082,0.097387,-0.004800,0.025800,0.152170,-0.002554,0.025727,0.049358
42,0.350000,-0.019960,0.027080,0.097394,-0.004798,0.025798,0.152171,-0.002551,0.025729,0.049360
43,0.358333,-0.019963,0.027074,0.097395,-0.004800,0.025802,0.152173,-0.002554,0.025732,0.049362
44,0.366667,-0.019962,0.027076,0.097391,-0.004798,0.025798,0.152170,-0.002550,0.025728,0.049361
45,0.375000,-0.019961,0.027077,0.097393,-0.004797,0.025798,0.152166,-0.002552,0.025731,0.049360
46,0.383333,-0.019961,0.027075,0.097392,-0.004794,0.025796,0.152169,-0.002554,0.025731,0.049362
