Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0,-0.0107,0.025633,0.141435,-0.001056,0.025237,0.090422,0.005662,0.025271,0.045554
1,0.008333,-0.010702,0.025626,0.141435,-0.001057,0.025231,0.090423,0.005659,0.025268,0.045553
2,0.016667,-0.010701,0.025629,0.14143,-0.001056,0.025231,0.090424,0.005661,0.025271,0.045554
3,0.025,-0.010702,0.025629,0.141435,-0.001055,0.025232,0.09042,0.00566,0.025264,0.045555
4,0.033333,-0.010697,0.02563,0.141432,-0.001054,0.025233,0.090419,0.005662,0.025269,0.045556
5,0.041667,-0.010702,0.02563,0.141435,-0.001054,0.025233,0.090418,0.005662,0.025267,0.045556
6,0.05,-0.010701,0.025628,0.141432,-0.001051,0.025232,0.090419,0.005659,0.025266,0.045554
7,0.058333,-0.010703,0.025624,0.141431,-0.001055,0.025229,0.090422,0.00566,0.025265,0.045556
8,0.066667,-0.010701,0.02563,0.141437,-0.001053,0.025236,0.09042,0.005662,0.025268,0.045559
9,0.075,-0.010698,0.025631,0.141435,-0.001054,0.02523,0.090423,0.005659,0.025267,0.045558
10,0.083333,-0.010704,0.025628,0.141435,-0.001056,0.025229,0.09042,0.005658,0.025264,0.045561
11,0.091667,-0.010698,0.025628,0.141436,-0.001055,0.025234,0.090424,0.005656,0.025266,0.045559
12,0.1,-0.010703,0.025626,0.141433,-0.00106,0.025228,0.090419,0.005657,0.025263,0.045562
13,0.108333,-0.010702,0.025627,0.141433,-0.001056,0.02523,0.090418,0.005662,0.02527,0.045558
14,0.116667,-0.010701,0.025631,0.141429,-0.001053,0.025225,0.090419,0.005659,0.025264,0.045558
15,0.125,-0.010697,0.025622,0.141433,-0.001051,0.025232,0.09042,0.005661,0.025268,0.045565
16,0.133333,-0.010701,0.025631,0.141432,-0.001054,0.02523,0.090425,0.005661,0.025268,0.045562
17,0.141667,-0.010703,0.025627,0.141435,-0.001056,0.025226,0.090422,0.005663,0.025267,0.04556
18,0.15,-0.010697,0.02563,0.141434,-0.001056,0.02523,0.090419,0.00566,0.025266,0.045561
19,0.158333,-0.0107,0.025631,0.141434,-0.00106,0.025229,0.09042,0.005658,0.025267,0.04556
20,0.166667,-0.010701,0.025629,0.141428,-0.001059,0.025233,0.090421,0.005664,0.025266,0.045561
21,0.175,-0.0107,0.025631,0.141432,-0.001053,0.025227,0.090421,0.00566,0.025268,0.045562
22,0.183333,-0.010703,0.025632,0.141428,-0.001056,0.025225,0.09042,0.005661,0.025268,0.04556
23,0.191667,-0.010702,0.02563,0.141435,-0.001055,0.025234,0.090421,0.005661,0.02527,0.045557
24,0.2,-0.010701,0.025629,0.141434,-0.001057,0.025226,0.090415,0.00566,0.02527,0.04556
25,0.208333,-0.010699,0.025631,0.141431,-0.00106,0.025233,0.09042,0.005666,0.025265,0.045563
26,0.216667,-0.010696,0.025629,0.141432,-0.001056,0.025229,0.090418,0.005661,0.025268,0.04556
27,0.225,-0.0107,0.025626,0.14143,-0.001056,0.025229,0.090422,0.005661,0.025266,0.045564
28,0.233333,-0.010701,0.025628,0.141428,-0.001059,0.025225,0.09042,0.00566,0.025267,0.045565
29,0.241667,-0.010698,0.025626,0.141427,-0.001059,0.025227,0.09042,0.005663,0.025267,0.045563
30,0.25,-0.010696,0.025626,0.141423,-0.001058,0.02523,0.090417,0.005661,0.025267,0.045564
31,0.258333,-0.010697,0.025628,0.141427,-0.001056,0.02522,0.090419,0.005664,0.025266,0.045564
32,0.266667,-0.010699,0.025629,0.141429,-0.001054,0.025231,0.090423,0.005662,0.025271,0.045562
33,0.275,-0.0107,0.025628,0.14143,-0.001057,0.025229,0.090419,0.005661,0.025266,0.045562
34,0.283333,-0.010699,0.025634,0.141427,-0.001058,0.025231,0.090422,0.005659,0.025269,0.045565
35,0.291667,-0.010701,0.025626,0.141427,-0.001056,0.025223,0.090421,0.005661,0.025266,0.045566
36,0.3,-0.010701,0.025629,0.141426,-0.001059,0.025226,0.090425,0.005661,0.025266,0.045566
37,0.308333,-0.010702,0.025626,0.141427,-0.001058,0.025225,0.090424,0.005662,0.025267,0.045567
38,0.316667,-0.010701,0.025628,0.141427,-0.001058,0.025224,0.090424,0.005662,0.025268,0.045568
