Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.009129,0.025783,0.145221,0.001807,0.025789,0.035728,0.013338,0.026803,0.089117
1,0.008333,-0.009129,0.025780,0.145221,0.001806,0.025786,0.035728,0.013366,0.026840,0.089121
2,0.016667,-0.009126,0.025786,0.145221,0.001810,0.025787,0.035727,0.013337,0.026801,0.089121
3,0.025000,-0.009129,0.025785,0.145221,0.001809,0.025791,0.035731,0.013367,0.026844,0.089122
4,0.033333,-0.009129,0.025785,0.145224,0.001809,0.025785,0.035730,0.013366,0.026845,0.089121
5,0.041667,-0.009127,0.025788,0.145222,0.001807,0.025784,0.035726,0.013337,0.026808,0.089116
6,0.050000,-0.009129,0.025785,0.145219,0.001808,0.025788,0.035729,0.013364,0.026847,0.089119
7,0.058333,-0.009132,0.025786,0.145220,0.001806,0.025786,0.035727,0.013364,0.026844,0.089124
8,0.066667,-0.009132,0.025782,0.145220,0.001804,0.025786,0.035731,0.013359,0.026851,0.089117
9,0.075000,-0.009131,0.025788,0.145221,0.001805,0.025786,0.035731,0.013333,0.026807,0.089117
10,0.083333,-0.009130,0.025788,0.145219,0.001802,0.025787,0.035732,0.013356,0.026845,0.089117
11,0.091667,-0.009132,0.025793,0.145215,0.001802,0.025784,0.035731,0.013330,0.026808,0.089115
12,0.100000,-0.009134,0.025786,0.145218,0.001804,0.025789,0.035726,0.013355,0.026845,0.089121
13,0.108333,-0.009134,0.025781,0.145216,0.001804,0.025785,0.035726,0.013359,0.026851,0.089117
14,0.116667,-0.009133,0.025782,0.145216,0.001805,0.025788,0.035730,0.013329,0.026805,0.089114
15,0.125000,-0.009133,0.025783,0.145215,0.001803,0.025787,0.035729,0.013355,0.026852,0.089118
16,0.133333,-0.009135,0.025788,0.145218,0.001802,0.025789,0.035730,0.013357,0.026843,0.089122
17,0.141667,-0.009133,0.025785,0.145221,0.001802,0.025788,0.035734,0.013325,0.026810,0.089120
18,0.150000,-0.009136,0.025785,0.145221,0.001805,0.025786,0.035739,0.013353,0.026849,0.089123
19,0.158333,-0.009135,0.025786,0.145218,0.001803,0.025785,0.035737,0.013323,0.026809,0.089119
20,0.166667,-0.009136,0.025787,0.145217,0.001800,0.025788,0.035736,0.013321,0.026809,0.089117
21,0.175000,-0.009138,0.025790,0.145212,0.001797,0.025784,0.035736,0.013322,0.026804,0.089116
22,0.183333,-0.009139,0.025788,0.145214,0.001796,0.025784,0.035733,0.013347,0.026842,0.089116
23,0.191667,-0.009141,0.025784,0.145214,0.001797,0.025784,0.035732,0.013316,0.026807,0.089114
24,0.200000,-0.009140,0.025786,0.145215,0.001796,0.025785,0.035731,0.013319,0.026810,0.089111
25,0.208333,-0.009141,0.025787,0.145216,0.001797,0.025785,0.035735,0.013345,0.026845,0.089121
26,0.216667,-0.009138,0.025784,0.145215,0.001797,0.025783,0.035738,0.013348,0.026844,0.089119
27,0.225000,-0.009138,0.025787,0.145212,0.001799,0.025786,0.035736,0.013346,0.026844,0.089117
28,0.233333,-0.009142,0.025785,0.145215,0.001797,0.025785,0.035741,0.013319,0.026805,0.089114
29,0.241667,-0.009136,0.025788,0.145214,0.001798,0.025788,0.035738,0.013315,0.026810,0.089113
30,0.250000,-0.009140,0.025783,0.145212,0.001799,0.025784,0.035736,0.013346,0.026849,0.089115
31,0.258333,-0.009142,0.025788,0.145208,0.001796,0.025787,0.035740,0.013318,0.026811,0.089115
32,0.266667,-0.009143,0.025792,0.145208,0.001792,0.025782,0.035738,0.013343,0.026847,0.089124
