Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0,-0.011746,0.025245,0.140649,0.004527,0.025281,0.046437,-0.003745,0.024749,0.090136
1,0.008333,-0.011747,0.02543,0.140654,0.004524,0.025278,0.046438,-0.003749,0.024752,0.090132
2,0.016667,-0.011744,0.02525,0.140649,0.004528,0.025279,0.046438,-0.003749,0.02475,0.090137
3,0.025,-0.011737,0.025446,0.140649,0.004527,0.025281,0.046436,-0.003745,0.024755,0.090134
4,0.033333,-0.011796,0.025465,0.14064,0.004529,0.025277,0.046438,-0.003746,0.02475,0.090135
5,0.041667,-0.011793,0.025483,0.140642,0.004527,0.025282,0.046434,-0.003741,0.024754,0.090136
6,0.05,-0.011791,0.02548,0.140646,0.004529,0.02528,0.046438,-0.003745,0.024752,0.090136
7,0.058333,-0.011744,0.02525,0.140645,0.004529,0.025276,0.046436,-0.003741,0.024753,0.090133
8,0.066667,-0.011784,0.02563,0.140651,0.004528,0.025276,0.046436,-0.003749,0.02475,0.090133
9,0.075,-0.011735,0.025438,0.140649,0.004528,0.025276,0.046436,-0.003743,0.024753,0.090131
10,0.083333,-0.011781,0.02563,0.140646,0.004531,0.025277,0.046437,-0.003745,0.024753,0.090132
11,0.091667,-0.011779,0.025632,0.140643,0.00453,0.025277,0.046435,-0.003742,0.024749,0.090129
12,0.1,-0.011733,0.025436,0.140649,0.004532,0.025277,0.046437,-0.003744,0.024751,0.090133
13,0.108333,-0.011783,0.02563,0.140649,0.004528,0.025278,0.04644,-0.003743,0.024754,0.090135
14,0.116667,-0.011781,0.025631,0.140648,0.004527,0.025274,0.046438,-0.003742,0.024755,0.090133
15,0.125,-0.011791,0.025475,0.140641,0.004526,0.025283,0.04644,-0.003746,0.02475,0.090136
16,0.133333,-0.011745,0.025245,0.140653,0.004528,0.025274,0.046438,-0.003744,0.024747,0.090138
17,0.141667,-0.011785,0.025635,0.140651,0.004524,0.025279,0.046438,-0.003753,0.024742,0.090129
18,0.15,-0.01178,0.025629,0.140652,0.004528,0.025274,0.046441,-0.003748,0.024752,0.090136
19,0.158333,-0.011781,0.025629,0.140648,0.00453,0.025274,0.046443,-0.003742,0.024751,0.090138
20,0.166667,-0.011778,0.025629,0.140649,0.004528,0.025278,0.046437,-0.003741,0.024749,0.090137
21,0.175,-0.011783,0.025483,0.140637,0.00453,0.025276,0.046438,-0.00374,0.024751,0.090134
22,0.183333,-0.011774,0.025631,0.140645,0.004532,0.025278,0.046436,-0.003738,0.024754,0.090139
23,0.191667,-0.011783,0.025478,0.140634,0.004534,0.025279,0.046436,-0.00374,0.024751,0.090137
24,0.2,-0.011786,0.025479,0.140637,0.004532,0.025277,0.046437,-0.00374,0.024752,0.090137
25,0.208333,-0.011777,0.025633,0.140649,0.004531,0.02528,0.046439,-0.003743,0.024752,0.090133
26,0.216667,-0.011776,0.025629,0.14064,0.004529,0.025276,0.046441,-0.00374,0.024751,0.090136
27,0.225,-0.011777,0.025627,0.140647,0.004526,0.025278,0.046441,-0.003743,0.024751,0.090134
28,0.233333,-0.011778,0.025628,0.140647,0.004528,0.025278,0.046438,-0.003744,0.024748,0.090134
29,0.241667,-0.011774,0.025639,0.140644,0.004526,0.02528,0.046439,-0.003743,0.024749,0.090134
30,0.25,-0.011782,0.025626,0.140643,0.004527,0.025277,0.046436,-0.003745,0.024753,0.090134
31,0.258333,-0.011774,0.025633,0.140647,0.004531,0.025277,0.046434,-0.00374,0.024751,0.090132
32,0.266667,-0.011781,0.025482,0.140636,0.004531,0.025277,0.046436,-0.00374,0.024752,0.090137
33,0.275,-0.011778,0.025624,0.140644,0.004533,0.025274,0.046439,-0.003743,0.024751,0.090134
34,0.283333,-0.011769,0.025631,0.140642,0.004533,0.025278,0.046439,-0.003737,0.024753,0.090137
35,0.291667,-0.011776,0.025624,0.140649,0.004532,0.025277,0.046438,-0.003747,0.024749,0.090134
36,0.3,-0.011769,0.025633,0.140645,0.004533,0.025279,0.046439,-0.003741,0.024752,0.090139
37,0.308333,-0.011772,0.025633,0.140641,0.004534,0.025275,0.046438,-0.003742,0.02475,0.090136
38,0.316667,-0.011771,0.025635,0.140646,0.004533,0.025274,0.046441,-0.003743,0.024749,0.090138
39,0.325,-0.011779,0.025628,0.140651,0.004526,0.025274,0.046438,-0.003748,0.024746,0.090138
40,0.333333,-0.011774,0.025632,0.140645,0.004526,0.02528,0.046438,-0.003745,0.024753,0.090138
41,0.341667,-0.011791,0.025472,0.140637,0.004526,0.025282,0.046441,-0.003744,0.024748,0.090141
42,0.35,-0.011773,0.025629,0.140648,0.004528,0.025276,0.046439,-0.003746,0.024745,0.090138
43,0.358333,-0.011771,0.025632,0.140647,0.004528,0.025275,0.046439,-0.003749,0.024747,0.090135
44,0.366667,-0.011776,0.025622,0.140648,0.00453,0.025284,0.046443,-0.003741,0.024749,0.090134
45,0.375,-0.011771,0.025629,0.140646,0.004532,0.025274,0.046441,-0.003741,0.024757,0.090137
46,0.383333,-0.011778,0.025477,0.140638,0.004531,0.025276,0.046439,-0.003735,0.02475,0.090141
47,0.391667,-0.011768,0.025631,0.140648,0.004537,0.02528,0.046442,-0.003743,0.024749,0.090134
48,0.4,-0.011761,0.025631,0.140643,0.004537,0.025276,0.046437,-0.003735,0.02475,0.090136
49,0.408333,-0.011765,0.025631,0.140646,0.004537,0.025279,0.046436,-0.003733,0.024753,0.090136
50,0.416667,-0.011772,0.025477,0.140633,0.004534,0.025278,0.046439,-0.003745,0.024747,0.090131
51,0.425,-0.011766,0.025632,0.14064,0.004534,0.025278,0.046434,-0.003741,0.024754,0.090136
52,0.433333,-0.01177,0.025633,0.140641,0.004533,0.02528,0.046439,-0.003742,0.024752,0.090135
53,0.441667,-0.011781,0.025482,0.140637,0.00453,0.025278,0.046436,-0.003739,0.024749,0.090137
54,0.45,-0.01177,0.02563,0.140645,0.004528,0.025278,0.046439,-0.003739,0.024753,0.090134
55,0.458333,-0.011773,0.025629,0.140644,0.004532,0.025277,0.046441,-0.003746,0.024746,0.090132
