Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
59,0.491667,-0.008542,0.025552,0.142115,0.003628,0.025406,0.090579,0.00746,0.02523,0.044344
60,0.5,-0.008483,0.025493,0.142136,0.00363,0.025408,0.090579,0.007463,0.02523,0.044348
61,0.508333,-0.008544,0.025548,0.142118,0.003626,0.025411,0.090577,0.007461,0.025233,0.04435
62,0.516667,-0.008541,0.025546,0.142117,0.003627,0.025412,0.090578,0.00746,0.025228,0.044347
63,0.525,-0.008548,0.025543,0.142115,0.003626,0.02541,0.090576,0.00746,0.025228,0.044344
64,0.533333,-0.008543,0.025545,0.142113,0.003623,0.025406,0.090576,0.007455,0.025231,0.044346
65,0.541667,-0.008492,0.02549,0.142129,0.00362,0.025406,0.090579,0.007452,0.02523,0.044347
66,0.55,-0.008555,0.025543,0.142116,0.003622,0.025415,0.090576,0.007457,0.025231,0.04435
67,0.558333,-0.008491,0.025486,0.14213,0.003624,0.02541,0.090576,0.007453,0.025227,0.044352
68,0.566667,-0.008548,0.025546,0.142116,0.003619,0.025404,0.090582,0.007456,0.025231,0.044348
69,0.575,-0.00855,0.025542,0.14211,0.003619,0.0254,0.090577,0.007456,0.025229,0.044346
70,0.583333,-0.008546,0.025544,0.142113,0.003623,0.025406,0.090577,0.007458,0.025231,0.044347
71,0.591667,-0.008546,0.025542,0.142111,0.003626,0.025405,0.090574,0.00746,0.025227,0.044347
72,0.6,-0.008543,0.025545,0.142114,0.003624,0.025409,0.090576,0.007459,0.025228,0.044348
73,0.608333,-0.008541,0.025542,0.14211,0.003625,0.025409,0.090577,0.007459,0.025233,0.044349
74,0.616667,-0.008541,0.025542,0.142115,0.003627,0.02541,0.090578,0.007462,0.025231,0.044349
75,0.625,-0.008543,0.025544,0.142112,0.003622,0.025409,0.09058,0.007461,0.025232,0.044349
76,0.633333,-0.008545,0.025543,0.142114,0.003621,0.025404,0.090576,0.00746,0.025235,0.044354
77,0.641667,-0.008487,0.025488,0.142126,0.003618,0.025408,0.090576,0.007455,0.02523,0.044356
78,0.65,-0.008489,0.025492,0.142127,0.003618,0.025409,0.090575,0.007456,0.025231,0.044351
79,0.658333,-0.008549,0.025544,0.14211,0.003618,0.025404,0.090574,0.007454,0.025235,0.044353
80,0.666667,-0.008551,0.025542,0.142108,0.00362,0.025403,0.090574,0.007455,0.025229,0.044353
81,0.675,-0.00849,0.025489,0.142126,0.003617,0.025405,0.090579,0.007455,0.025231,0.044349
82,0.683333,-0.008547,0.025542,0.142109,0.003623,0.025404,0.090576,0.007459,0.025228,0.044357
83,0.691667,-0.008545,0.025544,0.142114,0.003619,0.025403,0.090575,0.007462,0.02523,0.044356
84,0.7,-0.008542,0.025545,0.142111,0.003624,0.025402,0.09058,0.00746,0.025231,0.044355
85,0.708333,-0.008542,0.025542,0.142113,0.003626,0.025401,0.090574,0.007465,0.025231,0.044354
86,0.716667,-0.00848,0.02549,0.142124,0.003626,0.0254,0.09058,0.007466,0.025234,0.044354
87,0.725,-0.008539,0.025549,0.14211,0.003621,0.0254,0.090577,0.00746,0.025231,0.044357
88,0.733333,-0.008543,0.025543,0.142109,0.00362,0.025403,0.090573,0.007461,0.025225,0.044351
89,0.741667,-0.008488,0.02549,0.142121,0.003617,0.0254,0.090572,0.007457,0.025227,0.044356
90,0.75,-0.008549,0.025547,0.14211,0.003613,0.025403,0.09058,0.007454,0.025229,0.044358
91,0.758333,-0.008551,0.025545,0.142111,0.003613,0.0254,0.090578,0.007454,0.025227,0.044357
92,0.766667,-0.008546,0.02554,0.14211,0.003615,0.025399,0.090576,0.007453,0.02523,0.044359
93,0.775,-0.008547,0.025539,0.142107,0.003614,0.025399,0.090578,0.007456,0.025229,0.044356
94,0.783333,-0.008543,0.025543,0.142107,0.003619,0.025403,0.090579,0.007461,0.025228,0.04436
95,0.791667,-0.008541,0.025539,0.142109,0.003618,0.025398,0.090576,0.007462,0.025231,0.044359
96,0.8,-0.008538,0.025541,0.142107,0.003625,0.025403,0.090579,0.007464,0.02523,0.044359
97,0.808333,-0.008537,0.025548,0.142107,0.003628,0.025398,0.090574,0.007466,0.025232,0.044357
98,0.816667,-0.008539,0.025545,0.142105,0.003624,0.025396,0.090576,0.007466,0.025232,0.044357
99,0.825,-0.008479,0.025494,0.142119,0.00362,0.025398,0.090573,0.007466,0.025233,0.044356
100,0.833333,-0.008542,0.025546,0.142104,0.003621,0.025403,0.090577,0.00746,0.025231,0.04436
101,0.841667,-0.008545,0.02554,0.142105,0.003615,0.025403,0.09058,0.007458,0.02523,0.044358
102,0.85,-0.008545,0.025542,0.142106,0.003612,0.025405,0.090573,0.007456,0.025228,0.04436
103,0.858333,-0.008546,0.025541,0.142102,0.003613,0.025402,0.090578,0.007455,0.025232,0.044363
104,0.866667,-0.008546,0.02554,0.142101,0.003614,0.025396,0.090574,0.007458,0.02523,0.044359
105,0.875,-0.00855,0.025544,0.142101,0.003611,0.025397,0.090576,0.007457,0.025228,0.044357
106,0.883333,-0.00854,0.025543,0.142107,0.003615,0.025399,0.09058,0.007464,0.025232,0.044362
107,0.891667,-0.008537,0.025541,0.142103,0.003621,0.025397,0.090575,0.007466,0.025228,0.04436
108,0.9,-0.008538,0.025543,0.142103,0.003624,0.025399,0.09058,0.007468,0.02523,0.044362
109,0.908333,-0.008477,0.025491,0.14212,0.003622,0.025395,0.090578,0.007468,0.025227,0.044367
110,0.916667,-0.008479,0.025487,0.14212,0.003621,0.02539,0.090581,0.007468,0.025233,0.044365
111,0.925,-0.008538,0.025552,0.142097,0.003621,0.0254,0.090582,0.007464,0.025229,0.044364
112,0.933333,-0.008541,0.025542,0.142099,0.003621,0.025403,0.090574,0.007462,0.025228,0.04436
113,0.941667,-0.008541,0.025544,0.142101,0.003614,0.025395,0.090583,0.007459,0.025227,0.04436
114,0.95,-0.008545,0.025543,0.142098,0.003612,0.025398,0.09058,0.007455,0.025225,0.044355
115,0.958333,-0.008546,0.025544,0.142102,0.003608,0.025395,0.090577,0.007453,0.025228,0.044362
116,0.966667,-0.008546,0.025546,0.142102,0.003612,0.025395,0.090575,0.007455,0.025233,0.044365
117,0.975,-0.008543,0.025544,0.1421,0.003614,0.025395,0.090577,0.007457,0.025229,0.044364
118,0.983333,-0.008544,0.025538,0.142101,0.003617,0.025391,0.090579,0.007463,0.025227,0.044367
119,0.991667,-0.008481,0.025487,0.142116,0.003617,0.025389,0.090576,0.007463,0.025228,0.044367
120,1,-0.008537,0.025547,0.142098,0.00362,0.025397,0.090581,0.007466,0.025225,0.044364
121,1.008333,-0.008533,0.025542,0.142098,0.003624,0.025394,0.090577,0.007469,0.025228,0.044368
122,1.016667,-0.008535,0.025543,0.142102,0.003621,0.025387,0.090575,0.007472,0.025227,0.044367
123,1.025,-0.008535,0.025547,0.142097,0.003619,0.025393,0.09057,0.007467,0.025231,0.044361
124,1.033333,-0.008539,0.025545,0.1421,0.003616,0.025393,0.090579,0.007463,0.025228,0.044364
125,1.041667,-0.008541,0.025542,0.142097,0.003612,0.025394,0.090575,0.007461,0.025231,0.044367
126,1.05,-0.008547,0.02554,0.1421,0.003612,0.025392,0.090577,0.007459,0.025227,0.044365
127,1.058333,-0.008545,0.025543,0.142097,0.003606,0.025391,0.090582,0.007453,0.02523,0.044369
128,1.066667,-0.008546,0.025542,0.142096,0.00361,0.025392,0.090581,0.007455,0.025229,0.044369
129,1.075,-0.008547,0.025542,0.142091,0.003608,0.025391,0.090575,0.007457,0.025227,0.04437
130,1.083333,-0.008538,0.025543,0.142097,0.003616,0.025391,0.090575,0.00746,0.025225,0.044369
131,1.091667,-0.008538,0.025543,0.142097,0.003616,0.025393,0.090577,0.007466,0.025227,0.044369
132,1.1,-0.008536,0.025545,0.142098,0.003623,0.025388,0.090581,0.007471,0.025232,0.044371
133,1.108333,-0.008472,0.025495,0.14211,0.003623,0.025391,0.09058,0.007474,0.025228,0.044371
134,1.116667,-0.008534,0.025546,0.142097,0.003621,0.025395,0.090573,0.007472,0.025228,0.044371
135,1.125,-0.008536,0.025543,0.142098,0.003618,0.025393,0.090578,0.007468,0.02523,0.044371
136,1.133333,-0.008537,0.025549,0.142091,0.003615,0.025389,0.090577,0.007464,0.02523,0.044369
137,1.141667,-0.00854,0.025541,0.142096,0.003614,0.025395,0.090581,0.007465,0.025231,0.044371
138,1.15,-0.008547,0.025545,0.142093,0.003602,0.025388,0.090576,0.007458,0.025228,0.044368
139,1.158333,-0.008547,0.025543,0.142094,0.003609,0.025387,0.090575,0.007456,0.025231,0.044373
140,1.166667,-0.008546,0.025541,0.142098,0.003609,0.02539,0.09058,0.007458,0.025226,0.044371
141,1.175,-0.008544,0.025542,0.142094,0.00361,0.025387,0.090576,0.007457,0.025226,0.044371
142,1.183333,-0.008537,0.025541,0.142095,0.003609,0.025386,0.090579,0.007463,0.02523,0.044371
143,1.191667,-0.008536,0.025546,0.142094,0.003614,0.025389,0.090573,0.007466,0.025226,0.044374
144,1.2,-0.008476,0.025489,0.14211,0.003617,0.025391,0.090577,0.007471,0.02523,0.044371
145,1.208333,-0.008533,0.025544,0.142093,0.003619,0.025387,0.090574,0.007473,0.02523,0.044371
146,1.216667,-0.008529,0.025539,0.142092,0.003619,0.025388,0.090577,0.007472,0.025228,0.044376
147,1.225,-0.008533,0.025548,0.142082,0.003615,0.025389,0.09058,0.007472,0.025234,0.044375
148,1.233333,-0.008535,0.025544,0.142091,0.003612,0.025388,0.090576,0.007469,0.025232,0.044375
149,1.241667,-0.008541,0.025543,0.142091,0.003613,0.025385,0.090576,0.007463,0.025224,0.044373
150,1.25,-0.00854,0.025545,0.14209,0.003605,0.025391,0.090579,0.007462,0.025229,0.044377
151,1.258333,-0.008543,0.025543,0.14209,0.003606,0.025388,0.090576,0.007457,0.025228,0.044376
152,1.266667,-0.008546,0.025546,0.142094,0.003605,0.025388,0.090575,0.007458,0.025227,0.044374
153,1.275,-0.008485,0.02549,0.142108,0.003607,0.025383,0.090581,0.007457,0.02523,0.044373
154,1.283333,-0.008538,0.025544,0.14209,0.003604,0.025381,0.090578,0.007461,0.025227,0.044377
155,1.291667,-0.008534,0.025543,0.142094,0.00361,0.025383,0.090577,0.007465,0.025226,0.044379
156,1.3,-0.008534,0.025544,0.142094,0.003609,0.025385,0.090577,0.007471,0.025226,0.044375
157,1.308333,-0.008532,0.025541,0.142091,0.003617,0.025386,0.090582,0.007475,0.025229,0.044377
158,1.316667,-0.00853,0.025552,0.142087,0.00362,0.025382,0.090573,0.007475,0.025229,0.044376
159,1.325,-0.008532,0.025542,0.142089,0.003616,0.025383,0.090572,0.007475,0.025232,0.044376
160,1.333333,-0.008532,0.025552,0.142084,0.003616,0.025385,0.090576,0.007471,0.025232,0.044378
161,1.341667,-0.008539,0.025544,0.142088,0.003615,0.02539,0.090576,0.007466,0.025226,0.044378
162,1.35,-0.008541,0.025545,0.142092,0.003605,0.025383,0.090574,0.007462,0.025233,0.044378
163,1.358333,-0.008485,0.025488,0.142104,0.003601,0.025385,0.090577,0.007455,0.025229,0.044377
164,1.366667,-0.008541,0.025539,0.142089,0.003602,0.025384,0.090576,0.007458,0.025225,0.04438
165,1.375,-0.008546,0.025541,0.142089,0.003602,0.025382,0.090576,0.007455,0.025227,0.044379
166,1.383333,-0.008542,0.025543,0.142089,0.003606,0.025384,0.090577,0.007463,0.02523,0.044377
167,1.391667,-0.008534,0.025544,0.14209,0.003612,0.025383,0.090577,0.007465,0.025229,0.04438
