Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.011510,0.025975,0.145643,-0.002485,0.025934,0.032760,0.016004,0.027049,0.088196
1,0.008333,-0.011510,0.025975,0.145641,-0.002487,0.025934,0.032762,0.016005,0.027049,0.088188
2,0.016667,-0.011510,0.025972,0.145637,-0.002487,0.025929,0.032763,0.016004,0.027051,0.088193
3,0.025000,-0.011509,0.025976,0.145637,-0.002487,0.025930,0.032763,0.016008,0.027048,0.088195
4,0.033333,-0.011513,0.025979,0.145642,-0.002488,0.025931,0.032762,0.016003,0.027052,0.088193
5,0.041667,-0.011508,0.025974,0.145638,-0.002486,0.025929,0.032762,0.016001,0.027051,0.088193
6,0.050000,-0.011513,0.025978,0.145632,-0.002490,0.025931,0.032763,0.016000,0.027050,0.088191
7,0.058333,-0.011510,0.025981,0.145639,-0.002489,0.025936,0.032763,0.016002,0.027048,0.088194
8,0.066667,-0.011515,0.025976,0.145634,-0.002488,0.025930,0.032760,0.015998,0.027043,0.088192
9,0.075000,-0.011516,0.025977,0.145634,-0.002489,0.025928,0.032763,0.015998,0.027047,0.088194
10,0.083333,-0.011514,0.025981,0.145634,-0.002489,0.025935,0.032760,0.015998,0.027053,0.088190
11,0.091667,-0.011513,0.025980,0.145628,-0.002489,0.025931,0.032762,0.015996,0.027050,0.088187
12,0.100000,-0.011513,0.025976,0.145634,-0.002491,0.025931,0.032765,0.015994,0.027049,0.088194
13,0.108333,-0.011514,0.025978,0.145632,-0.002494,0.025934,0.032765,0.015997,0.027054,0.088189
14,0.116667,-0.011515,0.025979,0.145632,-0.002495,0.025929,0.032764,0.015994,0.027055,0.088196
15,0.125000,-0.011515,0.025984,0.145634,-0.002495,0.025929,0.032767,0.015993,0.027053,0.088191
16,0.133333,-0.011515,0.025983,0.145634,-0.002493,0.025931,0.032767,0.015994,0.027049,0.088191
17,0.141667,-0.011515,0.025978,0.145630,-0.002495,0.025927,0.032766,0.015993,0.027048,0.088194
18,0.150000,-0.011516,0.025975,0.145633,-0.002495,0.025933,0.032765,0.015990,0.027049,0.088191
19,0.158333,-0.011518,0.025979,0.145638,-0.002491,0.025934,0.032770,0.015987,0.027051,0.088188
20,0.166667,-0.011517,0.025969,0.145635,-0.002498,0.025930,0.032771,0.015991,0.027052,0.088193
21,0.175000,-0.011518,0.025978,0.145630,-0.002497,0.025930,0.032766,0.015988,0.027048,0.088191
22,0.183333,-0.011520,0.025976,0.145630,-0.002497,0.025928,0.032767,0.015987,0.027048,0.088189
23,0.191667,-0.011517,0.025975,0.145631,-0.002495,0.025935,0.032767,0.015984,0.027049,0.088192
24,0.200000,-0.011515,0.025976,0.145628,-0.002492,0.025933,0.032766,0.015987,0.027050,0.088190
25,0.208333,-0.011521,0.025977,0.145628,-0.002494,0.025933,0.032771,0.015989,0.027051,0.088192
26,0.216667,-0.011519,0.025973,0.145627,-0.002498,0.025931,0.032772,0.015988,0.027049,0.088192
27,0.225000,-0.011517,0.025983,0.145631,-0.002495,0.025929,0.032772,0.015984,0.027051,0.088188
28,0.233333,-0.011520,0.025976,0.145624,-0.002496,0.025934,0.032771,0.015981,0.027052,0.088188
29,0.241667,-0.011521,0.025977,0.145628,-0.002498,0.025932,0.032770,0.015982,0.027053,0.088189
30,0.250000,-0.011522,0.025973,0.145624,-0.002499,0.025934,0.032772,0.015984,0.027045,0.088186
31,0.258333,-0.011523,0.025978,0.145624,-0.002498,0.025934,0.032769,0.015981,0.027053,0.088192
32,0.266667,-0.011520,0.025973,0.145625,-0.002500,0.025933,0.032773,0.015981,0.027050,0.088191
33,0.275000,-0.011518,0.025976,0.145623,-0.002498,0.025928,0.032772,0.015976,0.027052,0.088188
34,0.283333,-0.011526,0.025982,0.145622,-0.002499,0.025931,0.032772,0.015976,0.027049,0.088190
35,0.291667,-0.011522,0.025978,0.145625,-0.002501,0.025928,0.032773,0.015979,0.027044,0.088187
