Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.059466,0.027094,0.060148,-0.028128,0.027166,0.119921,-0.013975,0.026115,-0.002280
1,0.008333,-0.059472,0.027092,0.060142,-0.028128,0.027159,0.119921,-0.013975,0.026118,-0.002282
2,0.016667,-0.059468,0.027092,0.060143,-0.028132,0.027160,0.119917,-0.013977,0.026112,-0.002285
3,0.025000,-0.059469,0.027092,0.060138,-0.028128,0.027162,0.119919,-0.013976,0.026115,-0.002280
4,0.033333,-0.059467,0.027092,0.060142,-0.028133,0.027155,0.119916,-0.013974,0.026114,-0.002286
5,0.041667,-0.059473,0.027098,0.060142,-0.028129,0.027164,0.119918,-0.013975,0.026114,-0.002284
6,0.050000,-0.059469,0.027096,0.060134,-0.028128,0.027164,0.119917,-0.013971,0.026115,-0.002286
7,0.058333,-0.059469,0.027093,0.060139,-0.028127,0.027164,0.119919,-0.013972,0.026116,-0.002284
8,0.066667,-0.059467,0.027098,0.060139,-0.028126,0.027163,0.119915,-0.013972,0.026114,-0.002286
9,0.075000,-0.059470,0.027089,0.060139,-0.028128,0.027163,0.119918,-0.013976,0.026115,-0.002287
10,0.083333,-0.059470,0.027093,0.060138,-0.028126,0.027159,0.119919,-0.013974,0.026114,-0.002283
11,0.091667,-0.059471,0.027098,0.060141,-0.028125,0.027163,0.119920,-0.013976,0.026115,-0.002289
12,0.100000,-0.059473,0.027098,0.060142,-0.028127,0.027165,0.119921,-0.013977,0.026115,-0.002286
13,0.108333,-0.059473,0.027092,0.060141,-0.028127,0.027166,0.119920,-0.013975,0.026115,-0.002284
14,0.116667,-0.059474,0.027094,0.060141,-0.028130,0.027166,0.119918,-0.013975,0.026117,-0.002285
15,0.125000,-0.059475,0.027093,0.060140,-0.028129,0.027164,0.119920,-0.013976,0.026111,-0.002286
16,0.133333,-0.059472,0.027097,0.060139,-0.028129,0.027167,0.119923,-0.013977,0.026117,-0.002286
17,0.141667,-0.059470,0.027094,0.060144,-0.028130,0.027162,0.119923,-0.013977,0.026114,-0.002286
18,0.150000,-0.059473,0.027096,0.060145,-0.028131,0.027164,0.119920,-0.013976,0.026117,-0.002283
19,0.158333,-0.059473,0.027090,0.060145,-0.028130,0.027164,0.119922,-0.013976,0.026113,-0.002283
20,0.166667,-0.059473,0.027097,0.060138,-0.028129,0.027163,0.119922,-0.013977,0.026117,-0.002283
21,0.175000,-0.059472,0.027099,0.060142,-0.028129,0.027163,0.119919,-0.013980,0.026113,-0.002283
22,0.183333,-0.059470,0.027097,0.060137,-0.028128,0.027159,0.119919,-0.013978,0.026118,-0.002286
23,0.191667,-0.059473,0.027096,0.060140,-0.028128,0.027163,0.119918,-0.013975,0.026112,-0.002286
24,0.200000,-0.059471,0.027094,0.060144,-0.028130,0.027169,0.119918,-0.013977,0.026115,-0.002283
25,0.208333,-0.059468,0.027095,0.060146,-0.028125,0.027160,0.119917,-0.013974,0.026114,-0.002283
26,0.216667,-0.059467,0.027095,0.060138,-0.028126,0.027160,0.119920,-0.013973,0.026117,-0.002286
27,0.225000,-0.059468,0.027094,0.060140,-0.028128,0.027160,0.119917,-0.013974,0.026119,-0.002279
28,0.233333,-0.059468,0.027096,0.060141,-0.028128,0.027165,0.119914,-0.013973,0.026112,-0.002284
29,0.241667,-0.059465,0.027094,0.060143,-0.028126,0.027166,0.119919,-0.013975,0.026119,-0.002285
30,0.250000,-0.059471,0.027090,0.060140,-0.028128,0.027169,0.119921,-0.013974,0.026115,-0.002282
31,0.258333,-0.059468,0.027096,0.060140,-0.028128,0.027162,0.119916,-0.013975,0.026118,-0.002285
32,0.266667,-0.059465,0.027093,0.060138,-0.028124,0.027164,0.119918,-0.013973,0.026112,-0.002282
33,0.275000,-0.059469,0.027100,0.060141,-0.028127,0.027163,0.119918,-0.013975,0.026114,-0.002279
34,0.283333,-0.059468,0.027097,0.060140,-0.028125,0.027160,0.119917,-0.013971,0.026112,-0.002280
35,0.291667,-0.059467,0.027092,0.060138,-0.028125,0.027166,0.119919,-0.013976,0.026115,-0.002277
36,0.300000,-0.059470,0.027093,0.060141,-0.028126,0.027164,0.119918,-0.013974,0.026115,-0.002279
37,0.308333,-0.059467,0.027095,0.060143,-0.028129,0.027160,0.119920,-0.013979,0.026115,-0.002280
38,0.316667,-0.059466,0.027102,0.060142,-0.028127,0.027167,0.119922,-0.013975,0.026115,-0.002281
39,0.325000,-0.059467,0.027096,0.060144,-0.028127,0.027162,0.119918,-0.013977,0.026117,-0.002280
40,0.333333,-0.059467,0.027092,0.060142,-0.028124,0.027162,0.119920,-0.013975,0.026114,-0.002279
41,0.341667,-0.059468,0.027093,0.060144,-0.028128,0.027163,0.119921,-0.013978,0.026112,-0.002278
42,0.350000,-0.059468,0.027094,0.060146,-0.028128,0.027161,0.119918,-0.013975,0.026118,-0.002280
43,0.358333,-0.059465,0.027098,0.060145,-0.028127,0.027160,0.119918,-0.013976,0.026113,-0.002279
44,0.366667,-0.059464,0.027097,0.060145,-0.028124,0.027166,0.119919,-0.013976,0.026114,-0.002280
45,0.375000,-0.059465,0.027098,0.060143,-0.028127,0.027162,0.119919,-0.013976,0.026113,-0.002276
46,0.383333,-0.059466,0.027094,0.060141,-0.028125,0.027164,0.119915,-0.013975,0.026118,-0.002278
47,0.391667,-0.059468,0.027095,0.060137,-0.028124,0.027167,0.119915,-0.013975,0.026115,-0.002282
48,0.400000,-0.059465,0.027097,0.060140,-0.028126,0.027163,0.119909,-0.013973,0.026115,-0.002280
49,0.408333,-0.059463,0.027092,0.060141,-0.028124,0.027167,0.119917,-0.013972,0.026115,-0.002281
50,0.416667,-0.059469,0.027097,0.060137,-0.028126,0.027164,0.119917,-0.013974,0.026114,-0.002277
