Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
56,0.466667,-0.050053,0.027026,0.064114,-0.030703,0.027076,0.119647,-0.023775,0.026035,0.002957
57,0.475000,-0.050053,0.027028,0.064110,-0.030701,0.027075,0.119650,-0.023778,0.026036,0.002958
58,0.483333,-0.050053,0.027025,0.064110,-0.030701,0.027078,0.119649,-0.023775,0.026037,0.002965
59,0.491667,-0.050054,0.027027,0.064116,-0.030697,0.027080,0.119650,-0.023777,0.026036,0.002960
60,0.500000,-0.050053,0.027026,0.064112,-0.030698,0.027073,0.119648,-0.023777,0.026035,0.002961
61,0.508333,-0.050051,0.027027,0.064106,-0.030698,0.027076,0.119647,-0.023776,0.026040,0.002961
62,0.516667,-0.050051,0.027029,0.064111,-0.030696,0.027070,0.119648,-0.023776,0.026035,0.002961
63,0.525000,-0.050048,0.027027,0.064106,-0.030698,0.027072,0.119644,-0.023776,0.026036,0.002959
64,0.533333,-0.050050,0.027025,0.064106,-0.030700,0.027074,0.119645,-0.023775,0.026037,0.002963
65,0.541667,-0.050050,0.027026,0.064110,-0.030700,0.027076,0.119646,-0.023774,0.026039,0.002959
66,0.550000,-0.050053,0.027024,0.064114,-0.030699,0.027079,0.119647,-0.023774,0.026036,0.002964
67,0.558333,-0.050049,0.027026,0.064111,-0.030700,0.027076,0.119642,-0.023776,0.026036,0.002959
68,0.566667,-0.050049,0.027025,0.064111,-0.030699,0.027079,0.119645,-0.023775,0.026034,0.002963
69,0.575000,-0.050045,0.027024,0.064110,-0.030697,0.027076,0.119647,-0.023777,0.026035,0.002967
70,0.583333,-0.050051,0.027027,0.064114,-0.030698,0.027077,0.119646,-0.023774,0.026039,0.002964
71,0.591667,-0.050045,0.027026,0.064111,-0.030695,0.027072,0.119645,-0.023776,0.026038,0.002964
72,0.600000,-0.050045,0.027025,0.064109,-0.030697,0.027075,0.119643,-0.023775,0.026037,0.002964
73,0.608333,-0.050047,0.027028,0.064113,-0.030696,0.027076,0.119641,-0.023774,0.026035,0.002962
74,0.616667,-0.050044,0.027027,0.064111,-0.030696,0.027083,0.119645,-0.023775,0.026037,0.002965
75,0.625000,-0.050047,0.027029,0.064111,-0.030697,0.027073,0.119643,-0.023774,0.026034,0.002963
76,0.633333,-0.050045,0.027026,0.064111,-0.030696,0.027078,0.119646,-0.023776,0.026034,0.002965
77,0.641667,-0.050050,0.027025,0.064112,-0.030698,0.027071,0.119645,-0.023775,0.026037,0.002966
78,0.650000,-0.050046,0.027024,0.064110,-0.030697,0.027079,0.119643,-0.023774,0.026039,0.002965
79,0.658333,-0.050048,0.027031,0.064113,-0.030696,0.027069,0.119641,-0.023773,0.026039,0.002961
80,0.666667,-0.050044,0.027028,0.064113,-0.030695,0.027074,0.119643,-0.023773,0.026038,0.002968
81,0.675000,-0.050042,0.027024,0.064116,-0.030693,0.027075,0.119639,-0.023769,0.026034,0.002971
82,0.683333,-0.050042,0.027027,0.064115,-0.030691,0.027076,0.119640,-0.023771,0.026034,0.002967
83,0.691667,-0.050044,0.027028,0.064115,-0.030691,0.027075,0.119642,-0.023767,0.026036,0.002973
84,0.700000,-0.050042,0.027029,0.064111,-0.030692,0.027073,0.119641,-0.023770,0.026040,0.002969
85,0.708333,-0.050040,0.027027,0.064113,-0.030692,0.027072,0.119637,-0.023770,0.026038,0.002970
86,0.716667,-0.050040,0.027027,0.064107,-0.030693,0.027072,0.119639,-0.023769,0.026039,0.002970
87,0.725000,-0.050040,0.027023,0.064111,-0.030690,0.027077,0.119638,-0.023771,0.026040,0.002969
88,0.733333,-0.050040,0.027028,0.064106,-0.030690,0.027074,0.119636,-0.023770,0.026037,0.002971
89,0.741667,-0.050039,0.027025,0.064112,-0.030696,0.027080,0.119639,-0.023771,0.026038,0.002970
90,0.750000,-0.050037,0.027025,0.064111,-0.030692,0.027078,0.119641,-0.023770,0.026036,0.002973
91,0.758333,-0.050035,0.027030,0.064111,-0.030689,0.027074,0.119644,-0.023770,0.026036,0.002977
92,0.766667,-0.050038,0.027025,0.064109,-0.030690,0.027075,0.119643,-0.023773,0.026035,0.002975
93,0.775000,-0.050034,0.027031,0.064115,-0.030689,0.027076,0.119639,-0.023770,0.026040,0.002974
94,0.783333,-0.050038,0.027026,0.064110,-0.030689,0.027080,0.119641,-0.023767,0.026037,0.002974
95,0.791667,-0.050033,0.027028,0.064111,-0.030690,0.027072,0.119636,-0.023766,0.026038,0.002976
96,0.800000,-0.050034,0.027023,0.064112,-0.030687,0.027081,0.119637,-0.023767,0.026037,0.002975
